clip,offset_s,survival,mean_survival_s,n,window_s
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,3.0,0.25,2.257,8,3.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,4.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,6.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,8.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,mean,0.8929,,56,3.0
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.0,0.0,0.952,8,3.0
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,1.0,0.0,0.377,8,3.0
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,2.0,0.0,0.237,8,2.08
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,3.0,0.0,0.175,8,1.1
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,4.0,1.0,0.08,8,0.08
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,6.0,1.0,0.04,8,0.04
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,8.0,1.0,0.04,8,0.04
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,mean,0.4286,,56,3.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.0,0.0,1.325,8,3.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,1.0,0.5,1.868,8,3.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,2.0,1.0,3.0,8,3.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,3.0,1.0,3.0,8,3.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,4.0,0.875,2.997,8,3.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,6.0,0.25,1.455,8,3.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,8.0,0.25,2.315,8,3.0
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,mean,0.5536,,56,3.0
CMU_127_127_13_poses_120_jpos,0.0,0.5,1.267,8,1.54
CMU_127_127_13_poses_120_jpos,1.0,1.0,0.52,8,0.52
CMU_127_127_13_poses_120_jpos,2.0,1.0,0.04,8,0.04
CMU_127_127_13_poses_120_jpos,3.0,1.0,0.04,8,0.04
CMU_127_127_13_poses_120_jpos,4.0,1.0,0.04,8,0.04
CMU_127_127_13_poses_120_jpos,6.0,1.0,0.04,8,0.04
CMU_127_127_13_poses_120_jpos,8.0,1.0,0.04,8,0.04
CMU_127_127_13_poses_120_jpos,mean,0.9286,,56,3.0
CMU_35_35_20_poses_120_jpos,0.0,0.125,0.775,8,1.36
CMU_35_35_20_poses_120_jpos,1.0,1.0,0.36,8,0.36
CMU_35_35_20_poses_120_jpos,2.0,1.0,0.04,8,0.04
CMU_35_35_20_poses_120_jpos,3.0,1.0,0.04,8,0.04
CMU_35_35_20_poses_120_jpos,4.0,1.0,0.04,8,0.04
CMU_35_35_20_poses_120_jpos,6.0,1.0,0.04,8,0.04
CMU_35_35_20_poses_120_jpos,8.0,1.0,0.04,8,0.04
CMU_35_35_20_poses_120_jpos,mean,0.875,,56,3.0
CMU_18_19_Justin_18_03_poses_120_jpos,0.0,1.0,3.0,8,3.0
CMU_18_19_Justin_18_03_poses_120_jpos,1.0,0.875,2.727,8,3.0
CMU_18_19_Justin_18_03_poses_120_jpos,2.0,0.625,2.635,8,2.92
CMU_18_19_Justin_18_03_poses_120_jpos,3.0,0.875,1.94,8,1.94
CMU_18_19_Justin_18_03_poses_120_jpos,4.0,0.25,0.61,8,0.94
CMU_18_19_Justin_18_03_poses_120_jpos,6.0,1.0,0.04,8,0.04
CMU_18_19_Justin_18_03_poses_120_jpos,8.0,1.0,0.04,8,0.04
CMU_18_19_Justin_18_03_poses_120_jpos,mean,0.8036,,56,3.0
CMU_16_16_35_poses_120_jpos,0.0,0.625,1.023,8,1.36
CMU_16_16_35_poses_120_jpos,1.0,1.0,0.36,8,0.36
CMU_16_16_35_poses_120_jpos,2.0,1.0,0.04,8,0.04
CMU_16_16_35_poses_120_jpos,3.0,1.0,0.04,8,0.04
CMU_16_16_35_poses_120_jpos,4.0,1.0,0.04,8,0.04
CMU_16_16_35_poses_120_jpos,6.0,1.0,0.04,8,0.04
CMU_16_16_35_poses_120_jpos,8.0,1.0,0.04,8,0.04
CMU_16_16_35_poses_120_jpos,mean,0.9464,,56,3.0
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,1.0,0.0,2.642,8,3.0
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,2.0,0.0,1.638,8,3.0
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,3.0,0.0,0.64,8,2.5
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,4.0,1.0,1.5,8,1.5
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,6.0,1.0,0.04,8,0.04
