clip,offset_s,mode,gain_scale,survival,mean_survival_s,mean_body_pos_err,causes,r_motion_global_root_pos,r_motion_global_root_ori,r_motion_body_pos,r_motion_body_ori,r_motion_body_lin_vel,r_motion_body_ang_vel,r_action_rate_l2,r_joint_limit,r_self_collisions
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,0.0,follow,1.0,0.0,0.95,0.0998,ee_body_pos:8,0.3919,0.2842,0.875,0.723,0.7812,0.801,-0.0213,-0.4125,-2.1728
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,2.0,follow,1.0,0.0,1.09,0.1303,anchor_pos:5;anchor_ori:3,0.272,0.2092,0.7946,0.3259,0.4911,0.4485,-0.182,-0.7008,-16.5138
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,3.0,follow,1.0,0.0,0.9,0.0927,anchor_ori:8,0.3981,0.1935,0.8848,0.4517,0.6199,0.4884,-0.1872,-0.3297,0.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,4.0,follow,1.0,0.0,0.69,0.1419,anchor_pos:8,0.3382,0.2266,0.8055,0.4788,0.6408,0.5306,-0.3069,-0.4979,-1.6968
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,6.0,follow,1.0,0.0,0.7,0.1571,anchor_pos:8,0.3278,0.1791,0.7431,0.3341,0.6026,0.4793,-0.3504,-1.1276,-4.5035
CMU_76_76_02_poses_120_jpos,0.0,follow,1.0,0.0,1.07,0.1184,anchor_pos:2;ee_body_pos:8,0.3208,0.241,0.8262,0.6195,0.7373,0.865,-0.0111,-0.4103,-0.373
CMU_76_76_02_poses_120_jpos,2.0,follow,1.0,0.0,0.7,0.1228,ee_body_pos:8,0.3748,0.2276,0.8241,0.5258,0.5323,0.5461,-0.0144,0.0,0.0
CMU_76_76_02_poses_120_jpos,3.0,follow,1.0,0.0,0.54,0.1277,ee_body_pos:7;anchor_ori:1,0.4233,0.1958,0.8231,0.5947,0.652,0.5636,-0.0189,-0.0363,0.0
CMU_76_76_02_poses_120_jpos,4.0,follow,1.0,0.0,0.93,0.1277,ee_body_pos:8,0.4052,0.16,0.8127,0.4521,0.8155,0.8359,-0.0195,-0.3817,-0.107
CMU_76_76_02_poses_120_jpos,6.0,follow,1.0,0.0,0.29,0.1282,ee_body_pos:8,0.4578,0.46,0.8952,0.8604,0.6195,0.7289,-0.0953,-0.3942,0.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,0.0,follow,1.0,0.0,0.26,0.1063,ee_body_pos:8,0.47,0.4793,0.9154,0.8425,0.6156,0.6507,-0.2029,-0.0513,0.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,2.0,follow,1.0,0.0,0.24,0.0991,ee_body_pos:8,0.4805,0.4394,0.9316,0.8452,0.6144,0.6312,-0.2053,-0.0361,0.0
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,3.0,follow,1.0,0.0,0.24,0.1099,ee_body_pos:8,0.4849,0.3911,0.9361,0.796,0.6472,0.5628,-0.2996,-0.082,-1.5625
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,4.0,follow,1.0,0.0,0.36,0.1142,ee_body_pos:8,0.4531,0.3211,0.88,0.7009,0.7,0.7087,-0.1406,-0.296,-5.8621
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,6.0,follow,1.0,0.0,0.32,0.1183,ee_body_pos:8,0.4547,0.4578,0.8872,0.7981,0.6535,0.7423,-0.115,-0.5393,0.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,0.0,follow,1.0,0.0,0.65,0.1198,ee_body_pos:8,0.3613,0.2098,0.7932,0.5151,0.7201,0.7269,-0.0355,-0.9815,-0.5769
KIT_3_kneel_down_to_crawl02_poses_100_jpos,2.0,follow,1.0,0.0,0.26,0.1034,ee_body_pos:8,0.4924,0.3294,0.926,0.6557,0.5999,0.5103,-0.6027,-1.147,0.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,3.0,follow,1.0,0.0,1.16,0.1158,anchor_pos:8,0.2945,0.277,0.8112,0.4158,0.7155,0.7037,-0.139,-0.6367,0.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,4.0,follow,1.0,1.0,1.26,0.0392,,0.4921,0.2954,0.9768,0.806,0.9774,0.9665,-0.1323,-0.6177,0.0
KIT_3_kneel_down_to_crawl02_poses_100_jpos,6.0,follow,1.0,1.0,0.04,0.0141,,0.4989,0.4954,0.9976,0.9882,0.8195,0.7913,-4.0693,-0.4596,0.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,0.0,follow,1.0,0.0,1.06,0.1377,ee_body_pos:8,0.3466,0.152,0.7923,0.5484,0.748,0.7424,-0.0125,-0.4091,-1.1033
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,2.0,follow,1.0,0.0,0.55,0.133,anchor_pos:8;ee_body_pos:1,0.3385,0.2432,0.8238,0.4333,0.3567,0.4071,-0.3501,-4.8015,-13.5135
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,3.0,follow,1.0,0.0,1.88,0.1118,anchor_pos:6;ee_body_pos:2,0.2498,0.1545,0.8304,0.4096,0.5941,0.4964,-0.116,-1.1072,-3.4176
BMLmovi_Subject_36_F_MoSh_Subject_36_F_2_poses_120_jpos,4.0,follow,1.0,0.0,2.16,0.1119,anchor_ori:3;anchor_pos:5,0.3336,0.0886,0.8433,0.3569,0.6614,0.5319,-0.0811,-1.2201,-2.1618
