clip,offset_s,survival,mean_survival_s,n,window_s
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,mean,0.9464,,56,3.0
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,0.0,0.0,2.537,8,3.0
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,1.0,0.0,1.188,8,3.0
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,2.0,0.0,0.647,8,2.74
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,3.0,0.0,0.565,8,1.74
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,4.0,0.875,0.738,8,0.74
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,mean,0.4107,,56,3.0
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,0.0,0.0,0.9,8,3.0
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,1.0,0.0,1.027,8,3.0
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,2.0,0.0,0.702,8,3.0
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,3.0,1.0,2.74,8,2.74
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,4.0,1.0,1.74,8,1.74
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,mean,0.5714,,56,3.0
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,1.0,1.0,2.1,8,2.1
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,2.0,1.0,1.12,8,1.12
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,3.0,1.0,0.12,8,0.12
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,4.0,1.0,0.04,8,0.04
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,mean,1.0,,56,3.0
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,0.0,0.0,2.043,8,3.0
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,1.0,0.0,0.89,8,3.0
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,2.0,0.0,0.347,8,3.0
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,3.0,0.0,0.34,8,3.0
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,4.0,0.0,0.295,8,3.0
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,6.0,1.0,1.0,8,1.0
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,mean,0.2857,,56,3.0
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,1.0,0.0,2.642,8,3.0
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,2.0,0.0,1.467,8,3.0
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,3.0,0.0,0.548,8,3.0
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,4.0,0.0,0.222,8,3.0
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,6.0,1.0,2.0,8,2.0
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,mean,0.4286,,56,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,0.0,0.0,2.773,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,1.0,0.0,1.83,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,2.0,0.0,0.643,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,3.0,0.0,0.347,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,4.0,0.0,0.222,8,3.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,6.0,1.0,1.94,8,1.94
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,mean,0.2857,,56,3.0
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,0.0,0.5,2.922,8,3.0
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,1.0,0.0,2.075,8,3.0
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,2.0,0.0,0.8,8,3.0
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,3.0,0.0,0.34,8,3.0
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,4.0,0.0,0.433,8,3.0
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,6.0,1.0,1.7,8,1.7
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,8.0,1.0,0.04,8,0.04
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,mean,0.3571,,56,3.0
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,0.0,0.0,1.337,8,3.0
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,1.0,0.0,0.425,8,3.0
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,2.0,0.0,0.232,8,3.0
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,3.0,0.0,0.337,8,3.0
