clip,offset_s,survival,mean_survival_s,n,window_s
ACCAD_Female1Running_c3d_C9_-__run_backwards_turn_run_forward_poses_120_jpos,0.0,0.0,0.575,8,2.3
ACCAD_Female1Running_c3d_C9_-__run_backwards_turn_run_forward_poses_120_jpos,1.0,0.0,0.48,8,1.3
ACCAD_Female1Running_c3d_C9_-__run_backwards_turn_run_forward_poses_120_jpos,2.0,0.0,0.19,8,0.28
ACCAD_Female1Running_c3d_C9_-__run_backwards_turn_run_forward_poses_120_jpos,3.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C9_-__run_backwards_turn_run_forward_poses_120_jpos,4.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C9_-__run_backwards_turn_run_forward_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C9_-__run_backwards_turn_run_forward_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Female1Running_c3d_C9_-__run_backwards_turn_run_forward_poses_120_jpos,mean,0.5714,,56,3.0
ACCAD_Male2MartialArtsStances_c3d_D2_-_walk_to_ready_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2MartialArtsStances_c3d_D2_-_walk_to_ready_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Male2MartialArtsStances_c3d_D2_-_walk_to_ready_poses_120_jpos,2.0,1.0,2.36,8,2.36
ACCAD_Male2MartialArtsStances_c3d_D2_-_walk_to_ready_poses_120_jpos,3.0,1.0,1.38,8,1.38
ACCAD_Male2MartialArtsStances_c3d_D2_-_walk_to_ready_poses_120_jpos,4.0,1.0,0.38,8,0.38
ACCAD_Male2MartialArtsStances_c3d_D2_-_walk_to_ready_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2MartialArtsStances_c3d_D2_-_walk_to_ready_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2MartialArtsStances_c3d_D2_-_walk_to_ready_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_Male2MartialArtsStances_c3d_D7_-_walk_to_bow_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2MartialArtsStances_c3d_D7_-_walk_to_bow_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Male2MartialArtsStances_c3d_D7_-_walk_to_bow_poses_120_jpos,2.0,1.0,3.0,8,3.0
ACCAD_Male2MartialArtsStances_c3d_D7_-_walk_to_bow_poses_120_jpos,3.0,1.0,3.0,8,3.0
ACCAD_Male2MartialArtsStances_c3d_D7_-_walk_to_bow_poses_120_jpos,4.0,1.0,3.0,8,3.0
ACCAD_Male2MartialArtsStances_c3d_D7_-_walk_to_bow_poses_120_jpos,6.0,1.0,1.06,8,1.06
ACCAD_Male2MartialArtsStances_c3d_D7_-_walk_to_bow_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2MartialArtsStances_c3d_D7_-_walk_to_bow_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_Male2MartialArtsStances_c3d_D9_-_t2_-_male2_blanks_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2MartialArtsStances_c3d_D9_-_t2_-_male2_blanks_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Male2MartialArtsStances_c3d_D9_-_t2_-_male2_blanks_poses_120_jpos,2.0,1.0,3.0,8,3.0
ACCAD_Male2MartialArtsStances_c3d_D9_-_t2_-_male2_blanks_poses_120_jpos,3.0,1.0,2.82,8,2.82
ACCAD_Male2MartialArtsStances_c3d_D9_-_t2_-_male2_blanks_poses_120_jpos,4.0,1.0,1.82,8,1.82
ACCAD_Male2MartialArtsStances_c3d_D9_-_t2_-_male2_blanks_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2MartialArtsStances_c3d_D9_-_t2_-_male2_blanks_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2MartialArtsStances_c3d_D9_-_t2_-_male2_blanks_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_Male2Running_c3d_C12_-_run_turn_left_45_poses_120_jpos,0.0,0.0,1.485,8,2.2
ACCAD_Male2Running_c3d_C12_-_run_turn_left_45_poses_120_jpos,1.0,0.0,0.765,8,1.18
ACCAD_Male2Running_c3d_C12_-_run_turn_left_45_poses_120_jpos,2.0,1.0,0.18,8,0.18
ACCAD_Male2Running_c3d_C12_-_run_turn_left_45_poses_120_jpos,3.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C12_-_run_turn_left_45_poses_120_jpos,4.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C12_-_run_turn_left_45_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C12_-_run_turn_left_45_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C12_-_run_turn_left_45_poses_120_jpos,mean,0.7143,,56,3.0
ACCAD_Male2Running_c3d_C1_-_stand_to_run_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2Running_c3d_C1_-_stand_to_run_poses_120_jpos,1.0,0.25,2.935,8,3.0
ACCAD_Male2Running_c3d_C1_-_stand_to_run_poses_120_jpos,2.0,0.0,2.017,8,2.08
ACCAD_Male2Running_c3d_C1_-_stand_to_run_poses_120_jpos,3.0,0.0,0.885,8,1.1
ACCAD_Male2Running_c3d_C1_-_stand_to_run_poses_120_jpos,4.0,1.0,0.08,8,0.08
ACCAD_Male2Running_c3d_C1_-_stand_to_run_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C1_-_stand_to_run_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C1_-_stand_to_run_poses_120_jpos,mean,0.6071,,56,3.0
ACCAD_Male2Running_c3d_C25_-_quick_sidestep_right_poses_120_jpos,0.0,1.0,2.02,8,2.02
ACCAD_Male2Running_c3d_C25_-_quick_sidestep_right_poses_120_jpos,1.0,1.0,1.02,8,1.02
ACCAD_Male2Running_c3d_C25_-_quick_sidestep_right_poses_120_jpos,2.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C25_-_quick_sidestep_right_poses_120_jpos,3.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C25_-_quick_sidestep_right_poses_120_jpos,4.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C25_-_quick_sidestep_right_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C25_-_quick_sidestep_right_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C25_-_quick_sidestep_right_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_Male2Running_c3d_C9_-_run_backwards_turn_run_forward_poses_120_jpos,0.0,0.25,1.922,8,3.0
ACCAD_Male2Running_c3d_C9_-_run_backwards_turn_run_forward_poses_120_jpos,1.0,0.125,1.352,8,2.58
ACCAD_Male2Running_c3d_C9_-_run_backwards_turn_run_forward_poses_120_jpos,2.0,0.0,0.692,8,1.58
ACCAD_Male2Running_c3d_C9_-_run_backwards_turn_run_forward_poses_120_jpos,3.0,0.625,0.505,8,0.58
ACCAD_Male2Running_c3d_C9_-_run_backwards_turn_run_forward_poses_120_jpos,4.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C9_-_run_backwards_turn_run_forward_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C9_-_run_backwards_turn_run_forward_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2Running_c3d_C9_-_run_backwards_turn_run_forward_poses_120_jpos,mean,0.5714,,56,3.0
ACCAD_Male2Walking_c3d_B10_-__Walk_turn_left_45_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B10_-__Walk_turn_left_45_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B10_-__Walk_turn_left_45_poses_120_jpos,2.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B10_-__Walk_turn_left_45_poses_120_jpos,3.0,1.0,2.98,8,2.98
ACCAD_Male2Walking_c3d_B10_-__Walk_turn_left_45_poses_120_jpos,4.0,1.0,1.96,8,1.96
ACCAD_Male2Walking_c3d_B10_-__Walk_turn_left_45_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B10_-__Walk_turn_left_45_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B10_-__Walk_turn_left_45_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_Male2Walking_c3d_B11_-__Walk_turn_left_135_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B11_-__Walk_turn_left_135_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B11_-__Walk_turn_left_135_poses_120_jpos,2.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B11_-__Walk_turn_left_135_poses_120_jpos,3.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B11_-__Walk_turn_left_135_poses_120_jpos,4.0,1.0,2.5,8,2.5
ACCAD_Male2Walking_c3d_B11_-__Walk_turn_left_135_poses_120_jpos,6.0,1.0,0.5,8,0.5
ACCAD_Male2Walking_c3d_B11_-__Walk_turn_left_135_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B11_-__Walk_turn_left_135_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_Male2Walking_c3d_B13_-__Walk_turn_right_90_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B13_-__Walk_turn_right_90_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B13_-__Walk_turn_right_90_poses_120_jpos,2.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B13_-__Walk_turn_right_90_poses_120_jpos,3.0,1.0,2.62,8,2.62
ACCAD_Male2Walking_c3d_B13_-__Walk_turn_right_90_poses_120_jpos,4.0,1.0,1.62,8,1.62
ACCAD_Male2Walking_c3d_B13_-__Walk_turn_right_90_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B13_-__Walk_turn_right_90_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B13_-__Walk_turn_right_90_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_Male2Walking_c3d_B14_-__Walk_turn_right_45_t2_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B14_-__Walk_turn_right_45_t2_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B14_-__Walk_turn_right_45_t2_poses_120_jpos,2.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B14_-__Walk_turn_right_45_t2_poses_120_jpos,3.0,1.0,2.8,8,2.8
ACCAD_Male2Walking_c3d_B14_-__Walk_turn_right_45_t2_poses_120_jpos,4.0,1.0,1.8,8,1.8
ACCAD_Male2Walking_c3d_B14_-__Walk_turn_right_45_t2_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B14_-__Walk_turn_right_45_t2_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B14_-__Walk_turn_right_45_t2_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_Male2Walking_c3d_B15_-__Walk_turn_around_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B15_-__Walk_turn_around_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B15_-__Walk_turn_around_poses_120_jpos,2.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B15_-__Walk_turn_around_poses_120_jpos,3.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B15_-__Walk_turn_around_poses_120_jpos,4.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B15_-__Walk_turn_around_poses_120_jpos,6.0,1.0,1.5,8,1.5
ACCAD_Male2Walking_c3d_B15_-__Walk_turn_around_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B15_-__Walk_turn_around_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_Male2Walking_c3d_B4_-_Stand_to_Walk_backwards_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B4_-_Stand_to_Walk_backwards_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B4_-_Stand_to_Walk_backwards_poses_120_jpos,2.0,1.0,2.6,8,2.6
ACCAD_Male2Walking_c3d_B4_-_Stand_to_Walk_backwards_poses_120_jpos,3.0,1.0,1.58,8,1.58
ACCAD_Male2Walking_c3d_B4_-_Stand_to_Walk_backwards_poses_120_jpos,4.0,1.0,0.58,8,0.58
ACCAD_Male2Walking_c3d_B4_-_Stand_to_Walk_backwards_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B4_-_Stand_to_Walk_backwards_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B4_-_Stand_to_Walk_backwards_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_Male2Walking_c3d_B9_-__Walk_turn_left_90_poses_120_jpos,0.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B9_-__Walk_turn_left_90_poses_120_jpos,1.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B9_-__Walk_turn_left_90_poses_120_jpos,2.0,1.0,3.0,8,3.0
ACCAD_Male2Walking_c3d_B9_-__Walk_turn_left_90_poses_120_jpos,3.0,1.0,2.04,8,2.04
ACCAD_Male2Walking_c3d_B9_-__Walk_turn_left_90_poses_120_jpos,4.0,1.0,1.04,8,1.04
ACCAD_Male2Walking_c3d_B9_-__Walk_turn_left_90_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B9_-__Walk_turn_left_90_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_Male2Walking_c3d_B9_-__Walk_turn_left_90_poses_120_jpos,mean,1.0,,56,3.0
ACCAD_s009_Sprint1_poses_120_jpos,0.0,1.0,2.2,8,2.2
ACCAD_s009_Sprint1_poses_120_jpos,1.0,0.0,0.532,8,1.18
ACCAD_s009_Sprint1_poses_120_jpos,2.0,1.0,0.18,8,0.18
ACCAD_s009_Sprint1_poses_120_jpos,3.0,1.0,0.04,8,0.04
ACCAD_s009_Sprint1_poses_120_jpos,4.0,1.0,0.04,8,0.04
ACCAD_s009_Sprint1_poses_120_jpos,6.0,1.0,0.04,8,0.04
ACCAD_s009_Sprint1_poses_120_jpos,8.0,1.0,0.04,8,0.04
ACCAD_s009_Sprint1_poses_120_jpos,mean,0.8571,,56,3.0
BMLmovi_Subject_17_F_MoSh_Subject_17_F_9_poses_120_jpos,0.0,1.0,3.0,8,3.0
BMLmovi_Subject_17_F_MoSh_Subject_17_F_9_poses_120_jpos,1.0,1.0,3.0,8,3.0
BMLmovi_Subject_17_F_MoSh_Subject_17_F_9_poses_120_jpos,2.0,1.0,3.0,8,3.0
