iteration,transitions,arm,seed,feasible_hard,all_panel
1000,12300288,U,21,0.5033934306597468,0.5799746592852627
1000,12300288,U,22,0.48133629551040186,0.5464466821354785
1000,12300288,U,23,0.4661293132846485,0.5397871884518204
1000,12300288,A,21,0.46459593083960177,0.5422575623662614
1000,12300288,A,22,0.44779493968801504,0.542939012155353
1000,12300288,A,23,0.43363150199880296,0.511092715205109
1000,12300288,R,21,0.4582377360518927,0.5409069604786364
1000,12300288,R,22,0.4638154582963185,0.5387251228856602
1000,12300288,R,23,0.47650435174207145,0.5436659064757517
1000,12300288,D,21,0.4675784226314397,0.5458156391671563
1000,12300288,D,22,0.47158073111058113,0.5344284699139996
1000,12300288,D,23,0.471429429693143,0.543511752201343
2000,24588288,U,21,0.4937856662005423,0.5606136460353782
2000,24588288,U,22,0.46666081087946887,0.5344225865337693
2000,24588288,U,23,0.4979140498527152,0.5517559542724296
2000,24588288,A,21,0.4588613189629014,0.527069405277166
2000,24588288,A,22,0.4534862420719237,0.5216300572860314
2000,24588288,A,23,0.45565296914376996,0.521988435381759
2000,24588288,R,21,0.45463770333896536,0.522747720067629
2000,24588288,R,22,0.4525580506837734,0.5157436536492079
2000,24588288,R,23,0.4516651338758363,0.5307006123037419
2000,24588288,D,21,0.4521656247648482,0.5277657425718446
2000,24588288,D,22,0.46333215541021266,0.521699715018965
2000,24588288,D,23,0.46161120861971483,0.5181656465113451
3000,36876288,U,21,0.5081039936369113,0.5775720679322767
3000,36876288,U,22,0.49817447960939576,0.5704395822900888
3000,36876288,U,23,0.47832352588659094,0.5354883454989867
3000,36876288,A,21,0.46452304341930606,0.5127760142756719
3000,36876288,A,22,0.465808404233099,0.5366713504314928
3000,36876288,A,23,0.4488172974161252,0.5248194497215255
3000,36876288,R,21,0.46749633948851277,0.5167383794022146
3000,36876288,R,22,0.4462736833924678,0.5317981210910387
3000,36876288,R,23,0.45823132891607715,0.5333554906338669
3000,36876288,D,21,0.47711368041038094,0.5457307056135394
3000,36876288,D,22,0.47800986742257073,0.5522698768892653
3000,36876288,D,23,0.4087847197239697,0.4701570360645666
3999,49152000,U,21,0.4991485916586686,0.5824694560071663
3999,49152000,U,22,0.5002099124684376,0.5648134992411531
3999,49152000,U,23,0.46122979905999784,0.5163072243464636
3999,49152000,A,21,0.48462940087648654,0.5529582668271175
3999,49152000,A,22,0.49153572752520186,0.5646962123275518
3999,49152000,A,23,0.45926001916470255,0.5309831800270178
3999,49152000,R,21,0.46514962754162836,0.5335459162787299
3999,49152000,R,22,0.46722024766179715,0.5507896869643544
3999,49152000,R,23,0.48301305017979856,0.5513080572057791
3999,49152000,D,21,0.47891014485683925,0.5593703750727074
3999,49152000,D,22,0.4709874663594802,0.533571660463881
3999,49152000,D,23,0.4857225046465263,0.5521284557197107
