motion_key,num_frames,fps,airborne_frac,infeasible_frac,unsupported_force_N_p50,unsupported_force_N_p95,unsupported_force_N_max,unsupported_impulse_per_weight_s,max_tau_ratio_p95,torque_infeasible_frac,schema_version,robot_sha256,source_sha256,num_evaluable_frames,num_contact_free_frames,duration_s,body_weight_N,foot_gap_m_p50,foot_gap_m_p05,mean_contacts,max_tau_ratio_max,torque_saturated_frac,mjcf_path,thr_gap_m,thr_mu,thr_unsupported_force_frac
crouch_cupboard_low_out_mid_loot_R_003__A296,599,50,0.0,0.0,0.0,0.0,1.708098960236178e-13,1.0444641680051515e-17,0.777724172394853,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,5b7af307e3d15d581ffccc0a8e53999afbe6c4b1c0705fbf11c54f59af6c5d00,599,0,11.98,327.07660302000005,-0.003098115198485139,-0.00779808066179639,12.0,0.9036736809095356,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_cupboard_mid_in_R_004__A289,355,50,0.0,0.0,0.0,0.0,0.0,0.0,0.6523043789444536,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,51b78a6715f59989ce546cf47721d6f10ab39326123e176ade6670dba3d0c28c,355,0,7.1000000000000005,327.07660302000005,-0.0062176911882296125,-0.010782586544084378,12.0,0.6701926061625617,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_cupboard_mid_out_R_001__A290_M,280,50,0.0,0.0,0.0,0.0,0.0,0.0,0.6069504089244739,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,9de4b701dbbc6b1d3b7b4ba41f31c908da60959638fcb1965c1936cc1595de0a,280,0,5.6000000000000005,327.07660302000005,-0.00705720815681054,-0.01816931498103508,12.0,0.6351733675061861,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_cupboard_mid_out_R_002__A291_M,325,50,0.0,0.0,0.0,0.0,0.0,0.0,0.671615085707848,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,4256d9eb332ffab23127392eaf43487b01d9dee6ec4fd3be78fc91cd4e6d4174,325,0,6.5,327.07660302000005,-0.005586276699637664,-0.00672795036394726,12.0,0.7053349868472983,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_180_R_001__A149,247,50,0.0,0.0,0.0,5.48263877492559,37.839704736325096,0.01718983130079396,0.571483689981472,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,0673b40e659f64315f1ed5108910a2015ed7bc2e527c1c09d46d7db6e1ee6d5d,247,0,4.94,327.07660302000005,0.0024123663771961667,-0.014712645578707835,6.866396761133603,0.6201038623380449,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_180_R_101__A126,304,50,0.0,0.0,0.0,34.58574707658183,51.461968515170895,0.08266506821003644,0.9197128695893974,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,058d3704ce875371a3fd38bfe60ff496179ae89476ca517e0760d48d39df5cf6,304,0,6.08,327.07660302000005,-0.009056709467598251,-0.022567174407391078,8.924342105263158,0.99455470271483,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_225_102__A125,292,50,0.0,0.0,0.0,1.7833790489770196,16.77819334711562,0.007789098898409206,1.0838498528630913,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,6a336e361ebaecf2b1cd3c5a7f6ef7b8d57f18f2f6af3820468d731be3e660e2,292,0,5.84,327.07660302000005,-0.001334002808276758,-0.01866887484685697,9.599315068493151,1.2358194936848137,0.0958904109589041,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_225_103__A129,255,50,0.0,0.0,0.0,8.954318891963762,23.13411675183333,0.016328806947462426,0.621525464468104,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,0d0f3d557b3e29d909d902334c50046fe157a34b65c2aec0bb32b02dd3be4ad3,255,0,5.1000000000000005,327.07660302000005,-0.012538223964052426,-0.024114910020644326,10.196078431372548,0.72567896722671,0.0,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_225_R_001__A244,272,50,0.0,0.0,0.0,21.584666445613102,34.73092583830351,0.07746828525392703,1.076188412836287,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,67a1d24bd32372ac30eb33769dd2a9bd0a535ac02b856ad01b963bde9f74e22a,272,0,5.44,327.07660302000005,-0.001123701836146222,-0.012458004833596622,8.738970588235293,1.3489491852751814,0.07352941176470588,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_225_R_001__A247,272,50,0.0,0.0,0.0,9.32284432754383,24.432363863610362,0.017273837307729748,1.2346510673316513,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,62f17700401c7ad0ecbd53aae285616e2207deaabbd28982a02f0acb942b637a,272,0,5.44,327.07660302000005,0.0009633927445086643,-0.014295818746925992,9.713235294117647,1.3239937642760764,0.16176470588235295,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_225_R_002__A194,197,50,0.0,0.0,0.0,12.111750520245355,25.95409819309717,0.0248901469543527,1.0614461071640677,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,7da531b02d883c525de9b97c03f290b1209399a6ca89c2300b50046a36654d52,197,0,3.94,327.07660302000005,0.0006767255680243918,-0.016593071049451038,8.50761421319797,1.1871355420701204,0.09137055837563451,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_225_R_002__A194_M,197,50,0.0,0.0,0.0,13.450490499409947,34.12725155613944,0.028703150177660782,1.0661076118427526,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,6ce919d5ef54462dba0f2405089f2d6d28b2af4db18371ca108a153b030edd43,197,0,3.94,327.07660302000005,0.0006730694226788599,-0.016614499980701407,8.50253807106599,1.2162777245409113,0.09644670050761421,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
crouch_ff_loop_270_004__A146,330,50,0.0,0.0,0.0,15.411751629206064,33.37732253425909,0.040396644214594504,0.8894823796778775,0.0,1,15a330f1dbff68cdbeb8284be6162a857bdcd21a858f65a8617fb32d5115f209,cd41a1b6aea221b64fc6be8e7023f79db0750c279b01dba6e674f3e3400a3e74,330,0,6.6000000000000005,327.07660302000005,-0.0048235126636069795,-0.0163132097702425,9.918181818181818,1.0341760296222058,0.012121212121212121,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/robot_description/mjcf/g1_29dof_rev_1_0.xml,0.06,0.7,0.5
