seed,iteration,tv,effective_units,top1_unit_mass,max_clip_mass,saturation,completed_trials
11,0,5.536080288312019e-17,624.0341112730887,0.016427655704958112,0.017178432908434998,0.0,458
11,100,0.07372341574261349,655.1806514593916,0.014303075096162896,0.01777497870248508,0.2677364864864865,49975
11,200,0.0691935692816293,635.039254031677,0.017054420737487273,0.017054420737487273,0.16047297297297297,87440
11,300,0.07115127026205399,637.2566424463605,0.015525113365388386,0.018862852401237064,0.09881756756756757,121530
11,400,0.06316811332221806,625.0427627193877,0.015620672791668885,0.01648506665164203,0.09037162162162163,152890
11,500,0.05717342716978529,620.6891900246425,0.0160481123139444,0.017515598606290286,0.08530405405405406,181928
11,600,0.05253367885405756,616.2498459907964,0.015811564976901903,0.016750547397855923,0.07939189189189189,209703
11,700,0.048960607638450844,621.717205001097,0.01644858084360572,0.01739357199623624,0.07432432432432433,236447
11,800,0.05640214185338824,632.5168002857904,0.017401378129701023,0.017401378129701023,0.06841216216216216,262937
11,900,0.05644226278071745,636.2537975866837,0.015885377303162675,0.016529956008498457,0.0777027027027027,289173
11,1000,0.059042212960115525,642.1599510055338,0.01618649966934492,0.017737789882585727,0.08868243243243243,315371
11,1100,0.06116772511011498,645.9892850221393,0.014819250521017565,0.01682862443338331,0.11317567567567567,341485
11,1200,0.07042470235263626,654.4672357012831,0.01400159163050759,0.01601391116928639,0.19425675675675674,367577
11,1300,0.07062838958499024,649.8583106461714,0.017738289680994238,0.017738289680994238,0.2939189189189189,393620
11,1400,0.07096430013564069,644.2516415214291,0.017616806022267686,0.017616806022267686,0.38513513513513514,419522
11,1500,0.07659160423736906,650.7835822750027,0.01476801460627018,0.01641390974284275,0.43327702702702703,445485
11,1600,0.08008920541627985,650.5585626690306,0.01640151643589008,0.017288411936104413,0.49493243243243246,471430
11,1700,0.07857337696271596,644.9157265169316,0.015423137790867885,0.016080397568366295,0.527027027027027,497301
11,1800,0.08465019701404711,655.2712137459874,0.014251547408199446,0.015698668061825356,0.5532094594594594,523116
11,1900,0.08640974101466525,651.1744811943214,0.015925748409298286,0.016126470058338237,0.5591216216216216,548945
11,2000,0.08939806886279558,653.1151462727008,0.01421967619339939,0.01569736751461786,0.5878378378378378,574759
11,2100,0.09094542283012216,655.8900815606899,0.01451995226095752,0.016234311062035718,0.59375,600511
11,2200,0.0883008829518328,646.1252495521151,0.015093750953286942,0.015145701668738066,0.6013513513513513,626303
11,2300,0.08926093713263752,655.5562765004304,0.015166311654398005,0.01606941968070443,0.6030405405405406,652061
11,2400,0.08932458666758045,643.4869975492172,0.015028456477055599,0.016404520231063358,0.6131756756756757,677792
11,2500,0.09056675176720441,650.3875508729152,0.014670155433455541,0.01588611845915803,0.6258445945945946,703558
11,2600,0.09809255765779357,655.5556252414111,0.014083709488196072,0.016125326873485626,0.637668918918919,729336
11,2700,0.09059932255205423,640.8425272295121,0.01571350712526179,0.01571350712526179,0.6486486486486487,755049
11,2800,0.0924279904633164,639.0686208903606,0.01645399845409763,0.017087201902189306,0.6722972972972973,780726
11,2900,0.09751571212663435,647.8862867030608,0.013534599739170206,0.015964578344883556,0.6545608108108109,806418
11,3000,0.09453644622898381,643.7855023146328,0.015644677847426007,0.015874012986169573,0.6782094594594594,832044
11,3100,0.09849636842425313,652.5231505880002,0.014116877686699865,0.015498532285102718,0.6883445945945946,857689
11,3200,0.09748680256839254,640.7054958374945,0.015039237692421183,0.017079460802929932,0.7027027027027027,883339
11,3300,0.09903785479361679,644.8949984152823,0.013981958834601762,0.016666202701308246,0.706081081081081,908973
11,3400,0.10240717925172643,647.5320237799026,0.015934524174019363,0.015934524174019363,0.7010135135135135,934577
11,3500,0.09543645083552013,640.714557722684,0.01578067488745872,0.015866484237661783,0.706081081081081,960153
11,3600,0.10019555581336229,642.833085698791,0.015181722403189057,0.018498544791837757,0.7119932432432432,985751
11,3700,0.09536819661645837,633.3596494052396,0.01604330088663404,0.016987790308463434,0.7246621621621622,1011348
11,3800,0.09656124113895315,635.8177612815257,0.015650360358961345,0.016421768163208367,0.7381756756756757,1036972
11,3900,0.10140682839149327,632.2432561242367,0.015117555514684472,0.015951766213177326,0.7516891891891891,1062521
11,3999,0.10823470586052537,638.0811592358912,0.013241262497053374,0.016377069553339167,0.737331081081081,1087814
