arm,seed,iteration,tv,effective_units,saturation,sampler_clock,completed_trials
A,21,1100,0.03291507722286867,641.4904509871707,0.09881756756756757,528,341234
A,21,1200,0.029181007935786426,641.2211784942668,0.17398648648648649,576,367211
A,21,1300,0.028808956968619542,638.9460194901922,0.2592905405405405,624,393134
A,21,1400,0.027821752715502943,636.245044891979,0.34290540540540543,672,418983
A,21,1500,0.029209195358696104,640.8154458734833,0.40033783783783783,720,444824
A,21,1600,0.030640135890056364,641.613908490108,0.44510135135135137,768,470637
A,21,1700,0.02733658151762684,639.3672941326881,0.46790540540540543,816,496423
A,21,1800,0.027631601133398555,640.144350412668,0.5059121621621622,864,522137
A,21,1900,0.025765294165221497,635.2150079204037,0.5320945945945946,912,547799
A,21,2000,0.025514900502354984,636.5326860264743,0.5557432432432432,960,573484
A,21,2100,0.028319016734604983,638.062575145548,0.566722972972973,1008,599155
A,21,2200,0.02503073570757364,637.2271315224367,0.5929054054054054,1056,624772
A,21,2300,0.024623128517004877,633.4591338747047,0.6089527027027027,1104,650361
A,21,2400,0.024838102639551336,638.5036268321301,0.637668918918919,1152,675998
A,21,2500,0.0249434883051557,633.0877544726535,0.6554054054054054,1200,701629
A,21,2600,0.025841298669368955,637.3782236585616,0.6410472972972973,1248,727255
A,21,2700,0.024441406168347203,635.9582572423266,0.6444256756756757,1296,752931
A,21,2800,0.02450097715898616,635.825502235454,0.6613175675675675,1344,778476
A,21,2900,0.02645923316718884,636.6264436634526,0.6554054054054054,1392,804039
A,21,3000,0.023479769706490256,636.9631713226537,0.6722972972972973,1440,829628
A,21,3100,0.02412122557409968,636.5562332945128,0.6739864864864865,1488,855160
A,21,3200,0.021420386323023885,634.2260625091982,0.6891891891891891,1536,880749
A,21,3300,0.024363147385702683,636.213166136462,0.6841216216216216,1584,906323
A,21,3400,0.025149143365959258,634.7465927788946,0.6976351351351351,1632,931822
A,21,3500,0.022320940334493396,634.3366602227986,0.7086148648648649,1680,957290
A,21,3600,0.02298751112900571,634.2754332605267,0.7128378378378378,1728,982809
A,21,3700,0.021827420125956027,633.7492445147903,0.7246621621621622,1776,1008263
A,21,3800,0.02159053600778966,633.7981535717212,0.71875,1824,1033762
A,21,3900,0.022370681953642422,633.0132118666725,0.7263513513513513,1872,1059224
A,21,3999,0.02077772716593916,632.873104778792,0.737331081081081,1920,1084430
R,21,0,0.0,624.0341112730893,0.0,0,437
R,21,100,0.07353811618669565,657.9908573875289,0.27449324324324326,48,49145
R,21,200,0.06916931573534352,639.6481227756524,0.15962837837837837,96,85856
R,21,300,0.0648186347821922,628.1343691461892,0.09037162162162163,144,118903
R,21,400,0.06452105507795679,636.1044976226186,0.08614864864864864,192,149978
R,21,500,0.052200253725644435,618.8485216497584,0.08361486486486487,240,178832
R,21,600,0.050949014026661764,622.5962688523817,0.08023648648648649,288,206189
R,21,700,0.053022845065683236,624.9191131465443,0.06841216216216216,336,232933
R,21,800,0.05447384131992653,637.0748877884029,0.06587837837837837,384,259344
R,21,900,0.060947231130357556,644.2172392333121,0.0625,432,285590
R,21,1000,0.059079746306130436,643.6731856120618,0.07516891891891891,480,311768
R,21,1100,0.06328930154123782,644.8339114268456,0.10472972972972973,528,337770
R,21,1200,0.07367329577340971,668.19096589148,0.18496621621621623,576,363756
R,21,1300,0.0773417181201739,664.4061972277041,0.26013513513513514,624,389752
R,21,1400,0.07518137948844913,661.410881851146,0.3572635135135135,672,415617
R,21,1500,0.07785689112576721,654.2507422178267,0.3927364864864865,720,441561
R,21,1600,0.07737283596552075,650.1795054760944,0.44256756756756754,768,467470
R,21,1700,0.08171907471353063,646.0350020570322,0.5050675675675675,816,493224
R,21,1800,0.08582483491863364,651.4966534986676,0.5219594594594594,864,519094
R,21,1900,0.08488088076978931,645.1143494698969,0.5532094594594594,912,544939
R,21,2000,0.08879637847152304,646.806658165154,0.5743243243243243,960,570701
R,21,2100,0.0882566243200943,654.5069686497299,0.5861486486486487,1008,596494
R,21,2200,0.08956137757878911,649.389986696547,0.59375,1056,622301
R,21,2300,0.09065826249139335,651.9268196907868,0.5743243243243243,1104,648151
R,21,2400,0.09009946048065591,648.7571822552062,0.6097972972972973,1152,673862
R,21,2500,0.09360914084947451,648.8713915587286,0.6182432432432432,1200,699543
R,21,2600,0.09652093434760446,650.0562076093795,0.6317567567567568,1248,725228
R,21,2700,0.0905295160849403,643.2753922621757,0.6427364864864865,1296,750879
R,21,2800,0.09121874597406363,644.6274394492004,0.6570945945945946,1344,776486
R,21,2900,0.09565162848951742,651.7355049339054,0.6824324324324325,1392,802087
R,21,3000,0.09358548680794308,640.4605524787879,0.6824324324324325,1440,827756
R,21,3100,0.0923121396728053,645.2832335442525,0.6798986486486487,1488,853375
R,21,3200,0.0970112762721264,642.0848635254487,0.6908783783783784,1536,878965
R,21,3300,0.10073574826412765,636.0048673528463,0.7170608108108109,1584,904513
R,21,3400,0.10105596246208104,648.6961991734238,0.714527027027027,1632,930127
R,21,3500,0.10296217297395846,645.1286907991597,0.7162162162162162,1680,955710
R,21,3600,0.09739876921203104,640.2290100730618,0.7305743243243243,1728,981302
R,21,3700,0.09458630260100426,641.8790255634914,0.7339527027027027,1776,1006886
R,21,3800,0.10019829172547165,633.8579023579936,0.7339527027027027,1824,1032519
R,21,3900,0.10033765616768943,629.2578279765784,0.7466216216216216,1872,1058055
R,21,3999,0.10152303720751595,641.4909105726528,0.7381756756756757,1920,1083411
D,21,0,0.0,624.0341112730887,0.0,0,437
D,21,100,0.004234402239571293,620.7771840008426,0.26013513513513514,48,50425
D,21,200,0.004565825455831443,622.4939412873391,0.15202702702702703,96,88186
D,21,300,0.005765878158140635,623.2274890170033,0.0945945945945946,144,122305
D,21,400,0.007487371708785269,624.2205316148132,0.07939189189189189,192,153783
D,21,500,0.011315628136404488,625.6600099584936,0.07347972972972973,240,182927
D,21,600,0.016272678274812206,627.421914735058,0.07179054054054054,288,210756
D,21,700,0.022463228100699083,629.2869817992615,0.06756756756756757,336,237875
D,21,800,0.02948992033546126,631.1050401099011,0.06756756756756757,384,264721
D,21,900,0.03707112518009753,633.317022365818,0.07179054054054054,432,291497
D,21,1000,0.045178132417881336,634.589411475485,0.08445945945945946,480,318110
D,21,1100,0.05324533829884568,635.0858037620484,0.11148648648648649,528,344677
D,21,1200,0.06035813016840396,636.5832141346255,0.17989864864864866,576,371203
D,21,1300,0.06569619100252552,638.0906685521144,0.2516891891891892,624,397741
D,21,1400,0.07138524182558863,637.8414979129288,0.31756756756756754,672,424364
D,21,1500,0.07715455736036511,639.0958193836605,0.38091216216216217,720,450950
D,21,1600,0.0808950098751847,637.46927516301,0.40371621621621623,768,477636
D,21,1700,0.08539024831259176,637.2630296935253,0.45861486486486486,816,504280
D,21,1800,0.08761192874989351,636.2706496215623,0.5059121621621622,864,530848
D,21,1900,0.09122625816605187,635.5654321465173,0.518581081081081,912,557452
D,21,2000,0.09268648787780975,634.8101161237055,0.543918918918919,960,584152
D,21,2100,0.09483242424606317,634.9224472605534,0.5557432432432432,1008,610802
D,21,2200,0.09538612855773443,633.8097847918771,0.5608108108108109,1056,637504
D,21,2300,0.09624027849914434,633.2465456822684,0.581081081081081,1104,664151
D,21,2400,0.09841908390782399,633.1070895872963,0.6021959459459459,1152,690759
D,21,2500,0.1011682094922865,633.2560508967066,0.6131756756756757,1200,717410
D,21,2600,0.10341757724458138,634.5995529560056,0.6275337837837838,1248,743982
D,21,2700,0.10459180421365247,636.3899234219822,0.625,1296,770533
D,21,2800,0.10563215619426951,636.0988454212803,0.6452702702702703,1344,797130
D,21,2900,0.1067084303756696,635.7413769719021,0.6511824324324325,1392,823783
D,21,3000,0.10944094542438454,635.9527197807554,0.6638513513513513,1440,850365
D,21,3100,0.11054549571251654,634.5344904337832,0.6697635135135135,1488,876998
D,21,3200,0.11079427239621939,635.320718723337,0.6790540540540541,1536,903620
D,21,3300,0.11092758980031862,634.857597641148,0.6739864864864865,1584,930301
D,21,3400,0.11273352834101094,634.4918150520982,0.6984797297297297,1632,956901
D,21,3500,0.11464192495039127,634.3429245657447,0.7103040540540541,1680,983552
D,21,3600,0.1164423360827107,632.1318017177616,0.7119932432432432,1728,1010157
D,21,3700,0.11738188303238035,630.378156384507,0.7195945945945946,1776,1036833
D,21,3800,0.11856976898844512,632.0000956714517,0.7246621621621622,1824,1063443
D,21,3900,0.12084244640109663,633.1677464032266,0.7263513513513513,1872,1090083
D,21,3999,0.12105175079856204,631.4235862334342,0.7263513513513513,1920,1116479
A,22,0,0.0,624.0341112730893,0.0,0,415
A,22,100,0.048724669180592754,650.9533326995734,0.28378378378378377,48,49596
A,22,200,0.04643673935318007,638.6594591117527,0.15878378378378377,96,86788
A,22,300,0.05121674121641383,630.1887529107786,0.09797297297297297,144,120100
A,22,400,0.05430480388933957,626.1640526118448,0.08277027027027027,192,150977
A,22,500,0.06114691944273363,619.2007658636118,0.07347972972972973,240,179591
A,22,600,0.05292116080024581,618.9826327870827,0.07094594594594594,288,207113
A,22,700,0.050960202890498206,631.2516719813359,0.06756756756756757,336,233937
A,22,800,0.04191145985518821,631.6343850318198,0.06841216216216216,384,260513
A,22,900,0.03824429310136607,633.6660063351645,0.07432432432432433,432,286817
A,22,1000,0.03395362761124448,634.1882158102225,0.08699324324324324,480,312847
A,22,1100,0.03172887722510913,639.4635319939442,0.11908783783783784,528,338862
A,22,1200,0.03135801561568721,642.9477361921845,0.19172297297297297,576,364830
A,22,1300,0.029836912527299576,643.2976014096984,0.27618243243243246,624,390790
A,22,1400,0.028501847434621412,640.368757442089,0.34121621621621623,672,416754
A,22,1500,0.02909832524546298,640.5720423773371,0.4045608108108108,720,442732
A,22,1600,0.026287159951624197,637.3586279231545,0.46199324324324326,768,468622
A,22,1700,0.026474492622604703,635.514439188057,0.5092905405405406,816,494413
A,22,1800,0.02647841956085957,640.1219048837104,0.5380067567567568,864,520213
A,22,1900,0.027160793720503604,637.5568832593207,0.5608108108108109,912,545988
A,22,2000,0.024981776730040022,634.6517241503583,0.5945945945945946,960,571721
A,22,2100,0.026278807329258892,638.5091421102385,0.6165540540540541,1008,597394
A,22,2200,0.02708589529407573,637.953658315671,0.6368243243243243,1056,623069
A,22,2300,0.02376463289645457,635.3161873973743,0.6461148648648649,1104,648675
A,22,2400,0.02457233949855462,635.4442351212097,0.6630067567567568,1152,674290
A,22,2500,0.02494558613397765,636.006248242459,0.6714527027027027,1200,699911
A,22,2600,0.024909148332457838,636.1148993295656,0.6739864864864865,1248,725510
A,22,2700,0.025532659946903215,636.1540190787413,0.6807432432432432,1296,751109
A,22,2800,0.024867101937294134,633.9655983765441,0.6925675675675675,1344,776698
A,22,2900,0.022636752282149952,632.650069359276,0.7162162162162162,1392,802267
A,22,3000,0.022587667367584906,633.6080710216413,0.7238175675675675,1440,827806
A,22,3100,0.025091000421198672,634.3262912699611,0.7238175675675675,1488,853355
A,22,3200,0.02387192096282014,635.7284807812022,0.7136824324324325,1536,878935
A,22,3300,0.02260096627270252,634.1358125559537,0.7322635135135135,1584,904391
A,22,3400,0.023160768603474973,634.2339383061621,0.7449324324324325,1632,929882
A,22,3500,0.02104210341191288,632.9023557825254,0.7474662162162162,1680,955386
A,22,3600,0.021320156904745043,633.1657239531633,0.754222972972973,1728,980926
A,22,3700,0.021270046283271483,633.1886871424346,0.7584459459459459,1776,1006437
A,22,3800,0.021213437335404012,632.7072243259344,0.7635135135135135,1824,1031913
A,22,3900,0.0207926153085285,630.8065396860333,0.78125,1872,1057408
A,22,3999,0.02263529081081362,634.9648174151321,0.7618243243243243,1920,1082658
R,22,0,0.0,624.0341112730893,0.0,0,415
R,22,100,0.08267847952259028,676.5351318262685,0.27280405405405406,48,49390
R,22,200,0.07057703148724326,639.3681176550949,0.16216216216216217,96,87178
R,22,300,0.06967518044352694,629.1262328329155,0.10726351351351351,144,120725
R,22,400,0.06561493596647933,629.3002967928128,0.09121621621621621,192,151955
R,22,500,0.05654099596906996,622.7690643093921,0.08023648648648649,240,181134
R,22,600,0.05101173088971728,620.2463917691794,0.06756756756756757,288,208893
R,22,700,0.05468517175369948,627.0106636910156,0.06756756756756757,336,235868
R,22,800,0.053359782113942274,631.9016881111053,0.06672297297297297,384,262478
R,22,900,0.05966967790621357,640.1805816434038,0.06503378378378379,432,288815
R,22,1000,0.06074904850763166,644.215187731117,0.07432432432432433,480,314920
R,22,1100,0.06060005565039339,642.1364179354391,0.08699324324324324,528,340966
R,22,1200,0.07295108877222756,657.5556577614764,0.1545608108108108,576,366949
R,22,1300,0.07222374930851656,657.2431446367892,0.2516891891891892,624,393090
R,22,1400,0.07626710559559442,653.8568045928786,0.32263513513513514,672,419062
R,22,1500,0.07417432676822143,643.5650397737363,0.36655405405405406,720,445034
R,22,1600,0.07932361502185792,652.9002218789535,0.41807432432432434,768,470927
R,22,1700,0.07856707665215282,646.4716926030073,0.4797297297297297,816,496730
R,22,1800,0.08186217744499774,650.7793895911176,0.5084459459459459,864,522610
R,22,1900,0.08415284494399305,647.5314946872572,0.5228040540540541,912,548423
R,22,2000,0.0864467937720565,646.7930497479082,0.5371621621621622,960,574233
R,22,2100,0.08206103051760226,646.162534758652,0.5802364864864865,1008,599968
R,22,2200,0.08494690288575947,651.3201479912516,0.5836148648648649,1056,625734
R,22,2300,0.08689574225408475,646.311201736276,0.6114864864864865,1104,651479
R,22,2400,0.09086806001577895,643.8365885324613,0.6089527027027027,1152,677267
R,22,2500,0.08696603388667458,643.9153515329493,0.6157094594594594,1200,703032
R,22,2600,0.09011826403217293,647.6339966478963,0.6385135135135135,1248,728697
R,22,2700,0.09096367437543433,639.986416017565,0.6494932432432432,1296,754493
R,22,2800,0.09580586063067437,654.6332805822923,0.6410472972972973,1344,780190
R,22,2900,0.09403615206185242,643.228032405562,0.6554054054054054,1392,805843
R,22,3000,0.0925742831667058,649.522165393376,0.6638513513513513,1440,831441
R,22,3100,0.09453226732871053,646.5088676513877,0.6672297297297297,1488,857077
R,22,3200,0.09552892389127109,642.2744091509784,0.6807432432432432,1536,882713
R,22,3300,0.09812836678841308,646.2416603926611,0.6824324324324325,1584,908290
R,22,3400,0.09730175442946626,645.7715727795563,0.7010135135135135,1632,933917
R,22,3500,0.09714273905053544,645.041536410842,0.7077702702702703,1680,959481
R,22,3600,0.0968101626568865,639.2598524196189,0.7086148648648649,1728,985129
R,22,3700,0.1036376196505639,635.2269236792908,0.706081081081081,1776,1010750
R,22,3800,0.1022791501533456,645.8493604838507,0.7094594594594594,1824,1036437
R,22,3900,0.10080229473286864,642.8254522249748,0.714527027027027,1872,1062088
R,22,3999,0.10260444471401503,640.1008999358846,0.7221283783783784,1920,1087418
D,22,0,0.0,624.0341112730887,0.0,0,415
D,22,100,0.004404757992308941,620.7641354288529,0.2677364864864865,48,49751
D,22,200,0.004740658239292619,622.5768685236812,0.14611486486486486,96,87315
D,22,300,0.005853214658313065,623.5457338432549,0.10557432432432433,144,121357
D,22,400,0.0076738548980417745,624.5710831804214,0.08023648648648649,192,152925
D,22,500,0.011053792323024112,626.0213714559593,0.06925675675675676,240,182222
D,22,600,0.015819784272832593,627.220406326861,0.06756756756756757,288,210203
D,22,700,0.021590363542566063,629.1686709575046,0.06672297297297297,336,237424
D,22,800,0.028520410511806767,630.6332009686076,0.0625,384,264260
D,22,900,0.03624930904632189,631.9765167624465,0.06756756756756757,432,290898
D,22,1000,0.04506109292514354,633.9122858375354,0.08614864864864864,480,317522
D,22,1100,0.05319625008241288,635.2026529226512,0.09797297297297297,528,344091
D,22,1200,0.06074257928386034,635.3279820129455,0.16300675675675674,576,370635
D,22,1300,0.0673679807031487,637.1384691120121,0.25844594594594594,624,397183
D,22,1400,0.07456596067179305,639.0585581716184,0.3572635135135135,672,423692
D,22,1500,0.07944032231740165,637.5944049038086,0.4189189189189189,720,450271
D,22,1600,0.08356135811948817,637.867319941993,0.46030405405405406,768,476857
D,22,1700,0.08739692541107727,637.0684015367771,0.48057432432432434,816,503496
D,22,1800,0.08958357064085981,635.8131401693108,0.5304054054054054,864,530133
D,22,1900,0.09264648852617859,634.8159305385375,0.5506756756756757,912,556790
D,22,2000,0.09491236844858147,634.1945016674832,0.5709459459459459,960,583404
D,22,2100,0.09872683604609145,635.4741309804788,0.5869932432432432,1008,609976
D,22,2200,0.09986667607590181,635.6336264984893,0.6047297297297297,1056,636639
D,22,2300,0.10209569224871604,636.0167248353234,0.625,1104,663226
D,22,2400,0.10331730896787528,635.476484298338,0.6300675675675675,1152,689923
D,22,2500,0.10474405895938031,636.4575821301036,0.6393581081081081,1200,716633
D,22,2600,0.10652137779525246,635.9829318916045,0.6570945945945946,1248,743383
D,22,2700,0.10766066617806144,636.1838075830711,0.668918918918919,1296,770087
D,22,2800,0.1089048055595733,636.9935149637652,0.660472972972973,1344,796784
D,22,2900,0.10920838418954366,636.9124093723887,0.6503378378378378,1392,823460
D,22,3000,0.11041613332526087,635.1397999506752,0.668918918918919,1440,850170
D,22,3100,0.1115106644400663,634.3102846243589,0.6807432432432432,1488,876839
D,22,3200,0.11341856528774925,634.6239062504684,0.7018581081081081,1536,903475
D,22,3300,0.1151500217042324,634.9171554322564,0.7077702702702703,1584,930227
D,22,3400,0.11667373467579237,634.4895324038456,0.714527027027027,1632,956933
D,22,3500,0.11820889183513124,633.917666293152,0.7179054054054054,1680,983701
D,22,3600,0.11877031790839443,634.02404038263,0.7128378378378378,1728,1010361
D,22,3700,0.11875582471839645,631.1472642119663,0.7271959459459459,1776,1037102
D,22,3800,0.11975590246119452,630.8497310740541,0.7246621621621622,1824,1063842
D,22,3900,0.12186513681965086,626.2993255771463,0.7381756756756757,1872,1090561
D,22,3999,0.1220550123467937,625.8602270234055,0.7381756756756757,1920,1116999
U,22,0,0.0,624.0341112730893,0.0,0,415
U,22,100,0.0,624.0341112730893,0.2626689189189189,48,49623
U,22,200,0.0,624.0341112730893,0.1579391891891892,96,87172
U,22,300,0.0,624.0341112730893,0.10472972972972973,144,121110
U,22,400,0.0,624.0341112730893,0.08699324324324324,192,152535
U,22,500,0.0,624.0341112730893,0.07685810810810811,240,181646
U,22,600,0.0,624.0341112730893,0.07347972972972973,288,209382
U,22,700,0.0,624.0341112730893,0.07094594594594594,336,236438
U,22,800,0.0,624.0341112730893,0.07263513513513513,384,263091
U,22,900,0.0,624.0341112730893,0.07601351351351351,432,289457
U,22,1000,0.0,624.0341112730893,0.08277027027027027,480,315598
U,22,1100,0.0,624.0341112730893,0.11570945945945946,528,341673
U,22,1200,0.0,624.0341112730893,0.17567567567567569,576,367735
U,22,1300,0.0,624.0341112730893,0.2491554054054054,624,393713
U,22,1400,0.0,624.0341112730893,0.3310810810810811,672,419651
U,22,1500,0.0,624.0341112730893,0.3910472972972973,720,445604
U,22,1600,0.0,624.0341112730893,0.4391891891891892,768,471469
U,22,1700,0.0,624.0341112730893,0.4653716216216216,816,497324
U,22,1800,0.0,624.0341112730893,0.5025337837837838,864,523131
U,22,1900,0.0,624.0341112730893,0.5363175675675675,912,548902
U,22,2000,0.0,624.0341112730893,0.5540540540540541,960,574571
U,22,2100,0.0,624.0341112730893,0.5717905405405406,1008,600272
U,22,2200,0.0,624.0341112730893,0.5641891891891891,1056,625996
U,22,2300,0.0,624.0341112730893,0.5734797297297297,1104,651767
U,22,2400,0.0,624.0341112730893,0.5954391891891891,1152,677446
U,22,2500,0.0,624.0341112730893,0.6157094594594594,1200,703114
U,22,2600,0.0,624.0341112730893,0.620777027027027,1248,728821
U,22,2700,0.0,624.0341112730893,0.6359797297297297,1296,754444
U,22,2800,0.0,624.0341112730893,0.65625,1344,780013
U,22,2900,0.0,624.0341112730893,0.6621621621621622,1392,805582
U,22,3000,0.0,624.0341112730893,0.6722972972972973,1440,831201
U,22,3100,0.0,624.0341112730893,0.674831081081081,1488,856724
U,22,3200,0.0,624.0341112730893,0.683277027027027,1536,882254
U,22,3300,0.0,624.0341112730893,0.6925675675675675,1584,907789
U,22,3400,0.0,624.0341112730893,0.7018581081081081,1632,933329
U,22,3500,0.0,624.0341112730893,0.7043918918918919,1680,958896
U,22,3600,0.0,624.0341112730893,0.6993243243243243,1728,984473
U,22,3700,0.0,624.0341112730893,0.6984797297297297,1776,1009984
U,22,3800,0.0,624.0341112730893,0.7153716216216216,1824,1035445
U,22,3900,0.0,624.0341112730893,0.7288851351351351,1872,1060869
U,22,3999,0.0,624.0341112730893,0.7364864864864865,1920,1086071
R,23,0,0.0,624.0341112730893,0.0,0,481
R,23,100,0.07908311594148637,664.3525902435506,0.29307432432432434,48,49705
R,23,200,0.06972219536737133,631.7092627464849,0.18412162162162163,96,87323
R,23,300,0.07223414087416409,629.4654490118336,0.11064189189189189,144,121077
R,23,400,0.06464742154635682,620.741328594142,0.09628378378378379,192,152305
R,23,500,0.056014041004455846,627.3168456384267,0.08614864864864864,240,181765
R,23,600,0.05615908915024293,625.9975610978039,0.0785472972972973,288,209738
R,23,700,0.053984393783360236,624.430533267485,0.07179054054054054,336,236966
R,23,800,0.05778110261947348,631.1561436974889,0.07010135135135136,384,263582
R,23,900,0.0581316460680051,642.7446918571771,0.06756756756756757,432,290039
R,23,1000,0.06153759572294911,643.5359766380014,0.06672297297297297,480,316275
R,23,1100,0.06411847320357666,655.9583362641532,0.08952702702702703,528,342355
R,23,1200,0.06373622613972935,646.228712243097,0.14527027027027026,576,368413
R,23,1300,0.07279991836336563,647.6249069869914,0.22972972972972974,624,394478
R,23,1400,0.07070079194036626,651.9037573091739,0.30996621621621623,672,420443
R,23,1500,0.07534827363868564,653.7933536932981,0.38513513513513514,720,446407
R,23,1600,0.07654218191394871,653.6399004461009,0.4341216216216216,768,472349
R,23,1700,0.08014820166292178,653.2690570138813,0.49493243243243246,816,498251
R,23,1800,0.08662481776128904,655.1184508297166,0.5211148648648649,864,524149
R,23,1900,0.08848889434113758,658.472444983372,0.535472972972973,912,549924
R,23,2000,0.0861084504087539,653.6922986640021,0.5675675675675675,960,575713
R,23,2100,0.09148948506204335,649.2246304794232,0.5844594594594594,1008,601580
R,23,2200,0.08620083693882848,647.5135879480725,0.5996621621621622,1056,627260
R,23,2300,0.0899602503838206,639.5365448994937,0.6140202702702703,1104,652977
R,23,2400,0.09022121890212338,652.0141717449687,0.612331081081081,1152,678719
R,23,2500,0.0912407544648885,651.9621233283262,0.6317567567567568,1200,704441
R,23,2600,0.09044128997259017,635.1418699095276,0.6452702702702703,1248,730110
R,23,2700,0.09158179609460831,647.9220728653019,0.6393581081081081,1296,755801
R,23,2800,0.08966197181847899,638.1975096873255,0.6402027027027027,1344,781569
R,23,2900,0.09081646858472614,634.7801014303211,0.6503378378378378,1392,807377
R,23,3000,0.09180897450187683,646.5311656896627,0.6638513513513513,1440,833098
R,23,3100,0.09399647933675334,646.6427784830518,0.6731418918918919,1488,858774
R,23,3200,0.09512361012499913,648.6274376223694,0.683277027027027,1536,884419
R,23,3300,0.09215158405641703,645.0894053574908,0.6942567567567568,1584,910038
R,23,3400,0.0961915238776292,632.176238641302,0.7035472972972973,1632,935706
R,23,3500,0.10000793092391255,641.8575557730856,0.7128378378378378,1680,961368
R,23,3600,0.09690193767312458,636.4205340411331,0.7027027027027027,1728,986986
R,23,3700,0.09634594096903276,642.370367359862,0.7043918918918919,1776,1012578
R,23,3800,0.09559612757279337,632.343591611686,0.7128378378378378,1824,1038191
R,23,3900,0.10021474185994919,641.9458608186708,0.71875,1872,1063837
R,23,3999,0.10349077749421197,637.0826229859239,0.7297297297297297,1920,1089129
D,23,0,0.0,624.0341112730887,0.0,0,482
D,23,100,0.004411536145932893,620.6640202367049,0.2609797297297297,48,50580
D,23,200,0.004609795252151294,622.3317468122644,0.15962837837837837,96,88636
D,23,300,0.0056197721286994455,623.3761973271176,0.08952702702702703,144,122746
D,23,400,0.00717002919300624,624.319664226775,0.07685810810810811,192,154436
D,23,500,0.010586551022461178,625.3413823764662,0.06841216216216216,240,183667
D,23,600,0.015172923650164035,626.3140799796705,0.06672297297297297,288,211620
D,23,700,0.02092249221739701,627.5454705481686,0.07179054054054054,336,238847
D,23,800,0.0276590538994873,629.336078945467,0.06841216216216216,384,265639
D,23,900,0.035016902662442735,630.162751360098,0.06418918918918919,432,292245
