clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.125,4.895,0.05985,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.25,1.37,0.11199,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.625,7.37,0.07904,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,1.615,0.05958,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,7.605,0.06628,8,10.0,random
CMU_35_35_24_poses_120_jpos,0.25,0.283,0.21464,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.5,6.095,0.08422,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.0,0.292,0.12406,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.75,8.183,0.0803,8,10.0,random
CMU_127_127_13_poses_120_jpos,0.875,0.72,0.10465,8,10.0,random
CMU_35_35_20_poses_120_jpos,0.75,0.32,0.13655,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.5,3.19,0.09883,8,10.0,random
CMU_16_16_35_poses_120_jpos,0.625,0.51,0.11232,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.5,1.573,0.07664,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,0.25,1.498,0.10804,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.25,2.735,0.08304,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.25,5.072,0.10448,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.938,0.06483,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.75,0.72,0.0667,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.375,1.107,0.08973,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.625,5.708,0.07332,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.0,4.873,0.10906,8,10.0,random
CMU_93_93_08_poses_60_jpos,0.875,4.963,0.07249,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.25,1.758,0.07668,8,10.0,random
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,1.0,3.72,0.05548,8,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,0.875,2.34,0.07869,8,10.0,random
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,0.875,3.68,0.05862,8,10.0,random
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,1.0,3.94,0.06778,8,10.0,random
CMU_35_35_18_poses_120_jpos,1.0,0.738,0.10424,8,10.0,random
CMU_35_35_26_poses_120_jpos,0.25,0.307,0.18412,8,10.0,random
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.5,0.705,0.08811,8,10.0,random
CMU_108_108_18_poses_120_jpos,1.0,0.77,0.08271,8,10.0,random
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.75,7.838,0.08916,8,10.0,random
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,2.255,0.08844,8,10.0,random
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.125,1.765,0.09681,8,10.0,random
CMU_91_91_04_poses_120_jpos,1.0,8.33,0.06462,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.25,2.855,0.07413,8,10.0,random
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,3.428,0.08752,8,10.0,random
CMU_138_138_10_poses_120_jpos,0.125,0.292,0.15039,8,10.0,random
CMU_106_106_04_poses_60_jpos,0.125,1.875,0.13044,8,10.0,random
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.0,0.125,0.10928,8,10.0,random
