clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start,effort_sat_mean,effort_sat_peak,effort_sat_at_end
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.0,3.375,0.07679,8,10.0,random,0.0009,0.02586,0.01293
CMU_102_102_29_poses_120_jpos,0.0,1.175,0.1279,8,10.0,random,0.0012,0.02586,0.01293
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.25,4.79,0.09185,8,10.0,random,0.00131,0.03448,0.01293
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,0.875,2.288,0.06954,8,10.0,random,7e-05,0.00862,0.00862
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,8.512,0.07917,8,10.0,random,0.00046,0.03017,0.01293
CMU_35_35_24_poses_120_jpos,0.0,0.497,0.24565,8,10.0,random,0.01091,0.03879,0.01293
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.75,5.327,0.08861,8,10.0,random,0.00045,0.00862,0.0
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.25,0.61,0.09946,8,10.0,random,0.00025,0.00862,0.00862
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.125,4.603,0.13247,8,10.0,random,0.00301,0.04741,0.01724
CMU_127_127_13_poses_120_jpos,0.375,0.448,0.19839,8,10.0,random,0.00824,0.05172,0.03448
CMU_35_35_20_poses_120_jpos,0.375,0.357,0.23042,8,10.0,random,0.0103,0.03017,0.01724
CMU_18_19_Justin_18_03_poses_120_jpos,0.25,0.953,0.12856,8,10.0,random,0.00159,0.01293,0.01293
CMU_16_16_35_poses_120_jpos,0.25,0.473,0.19776,8,10.0,random,0.01297,0.03879,0.03017
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.0,2.265,0.13411,8,10.0,random,0.00059,0.02155,0.01293
CMU_20_21_rory1_20_10_poses_120_jpos,0.25,1.312,0.12759,8,10.0,random,0.00327,0.02155,0.0
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.125,1.588,0.12659,8,10.0,random,0.00014,0.00862,0.00431
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.25,4.572,0.10496,8,10.0,random,0.00075,0.03448,0.00862
CMU_138_138_25_poses_120_jpos,0.875,1.677,0.0823,8,10.0,random,0.00131,0.02586,0.00431
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.5,1.025,0.13845,8,10.0,random,0.00031,0.00862,0.00431
CMU_88_88_10_poses_60_jpos,0.375,1.085,0.11839,8,10.0,random,0.00102,0.02155,0.01293
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.625,5.248,0.09115,8,10.0,random,0.00043,0.02155,0.00431
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.375,4.465,0.07328,8,10.0,random,6e-05,0.00431,0.00431
CMU_93_93_08_poses_60_jpos,1.0,4.185,0.07155,8,10.0,random,0.00061,0.03017,0.00862
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.5,1.598,0.09063,8,10.0,random,0.00199,0.03017,0.01293
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,0.625,2.845,0.08398,8,10.0,random,0.00098,0.03017,0.0
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,2.185,0.07205,8,10.0,random,0.00033,0.01293,0.00431
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,0.625,2.712,0.0874,8,10.0,random,0.00172,0.03017,0.00431
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,0.625,2.442,0.08772,8,10.0,random,0.00049,0.01293,0.00862
CMU_35_35_18_poses_120_jpos,1.0,0.223,0.07824,8,10.0,random,0.0126,0.04741,0.0431
CMU_35_35_26_poses_120_jpos,0.125,0.438,0.22543,8,10.0,random,0.00965,0.03448,0.00862
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.625,0.715,0.08844,8,10.0,random,0.00102,0.03448,0.03448
CMU_108_108_18_poses_120_jpos,0.375,0.655,0.16791,8,10.0,random,0.00769,0.0431,0.01293
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.0,1.91,0.13535,8,10.0,random,0.00251,0.03879,0.01724
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,2.335,0.08706,8,10.0,random,0.00043,0.03448,0.02155
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.25,2.03,0.0819,8,10.0,random,0.00057,0.01293,0.01293
CMU_91_91_04_poses_120_jpos,0.5,5.098,0.0937,8,10.0,random,0.00061,0.02586,0.00862
