clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.75,4.88,0.0567,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.125,2.09,0.10052,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.375,6.237,0.06656,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,2.623,0.06672,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,9.078,0.07425,8,10.0,random
CMU_35_35_24_poses_120_jpos,1.0,0.72,0.10733,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,1.0,7.518,0.06912,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.375,0.27,0.07343,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.25,4.022,0.11624,8,10.0,random
CMU_127_127_13_poses_120_jpos,0.75,0.723,0.11309,8,10.0,random
CMU_35_35_20_poses_120_jpos,1.0,0.647,0.10001,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.625,2.355,0.06983,8,10.0,random
CMU_16_16_35_poses_120_jpos,1.0,0.64,0.08458,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.25,1.853,0.17073,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,0.625,1.545,0.11661,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.25,2.355,0.08312,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.5,6.298,0.10643,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.177,0.05867,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.875,1.528,0.06738,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.25,1.005,0.10259,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.5,5.907,0.08814,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.375,4.728,0.0848,8,10.0,random
CMU_93_93_08_poses_60_jpos,1.0,4.605,0.06436,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.25,1.103,0.09964,8,10.0,random
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,1.0,6.013,0.06012,8,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,2.88,0.07718,8,10.0,random
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,1.0,2.703,0.04491,8,10.0,random
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,1.0,5.68,0.06853,8,10.0,random
CMU_35_35_18_poses_120_jpos,1.0,0.71,0.10004,8,10.0,random
CMU_35_35_26_poses_120_jpos,1.0,0.84,0.10947,8,10.0,random
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.625,0.628,0.07554,8,10.0,random
CMU_108_108_18_poses_120_jpos,1.0,1.075,0.09356,8,10.0,random
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.625,4.833,0.08683,8,10.0,random
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,1.575,0.06767,8,10.0,random
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.125,3.178,0.07137,8,10.0,random
CMU_91_91_04_poses_120_jpos,0.75,8.957,0.07996,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.25,2.888,0.07827,8,10.0,random
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,3.288,0.08931,8,10.0,random
CMU_138_138_10_poses_120_jpos,0.125,0.398,0.11079,8,10.0,random
CMU_106_106_04_poses_60_jpos,0.25,2.107,0.11463,8,10.0,random
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.125,0.235,0.15032,8,10.0,random
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,1.0,9.195,0.07962,8,10.0,random
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,1.0,1.708,0.07319,8,10.0,random
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,4.395,0.06488,8,10.0,random
ACCAD_s007_QkWalk1_poses_120_jpos,1.0,1.458,0.08746,8,10.0,random
CMU_78_78_31_poses_120_jpos,0.25,1.127,0.11168,8,10.0,random
CMU_76_76_03_poses_120_jpos,0.375,1.46,0.09356,8,10.0,random
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,1.0,4.107,0.0462,8,10.0,random
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,1.0,8.88,0.07855,8,10.0,random
CMU_108_108_16_poses_120_jpos,0.5,1.16,0.09681,8,10.0,random
SFU_0015_0015_BasicKendo001_poses_120_jpos,0.5,7.748,0.07115,8,10.0,random
DFaust_67_50020_50020_punching_poses_60_jpos,0.75,1.262,0.07744,8,10.0,random
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,1.0,1.825,0.04768,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,0.875,7.835,0.06814,8,10.0,random
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,1.0,7.402,0.06491,8,10.0,random
CMU_139_139_11_poses_60_jpos,1.0,2.23,0.06014,8,10.0,random
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,0.625,3.455,0.1545,8,10.0,random
KIT_379_push_recovery_left05_poses_100_jpos,1.0,3.3,0.05101,8,10.0,random
CMU_122_122_55_poses_120_jpos,1.0,3.183,0.06507,8,10.0,random
CMU_144_144_04_poses_120_jpos,1.0,5.13,0.05917,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,1.0,8.37,0.05211,8,10.0,random
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,1.0,3.07,0.05501,8,10.0,random
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,1.0,1.588,0.04284,8,10.0,random
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,0.875,2.853,0.0683,8,10.0,random
CMU_122_122_15_poses_120_jpos,0.625,1.24,0.079,8,10.0,random
KIT_513_kick07_poses_100_jpos,0.625,1.288,0.05454,8,10.0,random
GRAB_s3_eyeglasses_clean_1,1.0,3.243,0.04872,8,10.0,random
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,0.25,0.94,0.10349,8,10.0,random
KIT_425_bend_left06_poses_100_jpos,1.0,2.613,0.06416,8,10.0,random
KIT_424_walking_fast08_poses_100_jpos,1.0,2.877,0.04847,8,10.0,random
GRAB_s7_stapler_staple_1,1.0,3.817,0.05078,8,10.0,random
CMU_122_122_03_poses_120_jpos,0.375,1.113,0.09906,8,10.0,random
GRAB_s3_waterbottle_pick_all,1.0,8.555,0.05396,8,10.0,random
KIT_675_walk_with_table_left04_poses_100_jpos,1.0,3.95,0.07894,8,10.0,random
KIT_3_seesaw07_poses_100_jpos,1.0,2.863,0.04795,8,10.0,random
CMU_137_137_36_poses_120_jpos,1.0,7.982,0.07634,8,10.0,random
KIT_8_RightTurn03_poses_100_jpos,1.0,2.678,0.04695,8,10.0,random
KIT_424_seesaw04_poses_100_jpos,0.75,3.74,0.06638,8,10.0,random
KIT_3_walking_medium08_poses_100_jpos,1.0,3.35,0.05224,8,10.0,random
KIT_421_push_recovery_stand_left03_poses_100_jpos,1.0,3.805,0.0367,8,10.0,random
GRAB_s6_mouse_pick_all,1.0,8.565,0.04033,8,10.0,random
KIT_8_WalkingStraightForwards09_poses_100_jpos,1.0,2.4,0.04002,8,10.0,random
CMU_106_106_13_poses_60_jpos,1.0,3.57,0.04748,8,10.0,random
GRAB_s4_apple_pick_all,1.0,4.285,0.05483,8,10.0,random
GRAB_s6_spherelarge_pick_all,1.0,4.255,0.04307,8,10.0,random
KIT_572_throw_left04_poses_100_jpos,1.0,1.685,0.0331,8,10.0,random
GRAB_s5_spherelarge_pick_all,1.0,9.58,0.03641,8,10.0,random
