clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.625,7.107,0.0666,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.125,1.742,0.12156,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.375,5.565,0.0868,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,1.833,0.06079,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,0.75,6.75,0.0892,8,10.0,random
CMU_35_35_24_poses_120_jpos,0.875,0.688,0.09822,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,1.0,6.64,0.06643,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.25,0.802,0.10662,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.25,5.183,0.10275,8,10.0,random
CMU_127_127_13_poses_120_jpos,0.875,0.608,0.13602,8,10.0,random
CMU_35_35_20_poses_120_jpos,1.0,0.68,0.08918,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.625,2.058,0.09363,8,10.0,random
CMU_16_16_35_poses_120_jpos,1.0,0.758,0.09734,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.5,1.338,0.08676,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,0.75,0.993,0.09791,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.0,1.623,0.09764,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.25,6.777,0.10368,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.72,0.07921,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.75,1.748,0.07778,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.625,1.46,0.09031,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.75,6.285,0.08172,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.25,4.423,0.0844,8,10.0,random
CMU_93_93_08_poses_60_jpos,1.0,5.072,0.07451,8,10.0,random
