clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start,effort_sat_mean,effort_sat_peak,effort_sat_at_end
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.125,4.69,0.08185,8,10.0,random,0.00047,0.02155,0.00862
CMU_102_102_29_poses_120_jpos,0.375,0.74,0.09945,8,10.0,random,0.0026,0.02586,0.01724
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.0,3.39,0.10627,8,10.0,random,0.00176,0.03448,0.01724
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,1.857,0.06522,8,10.0,random,5e-05,0.00431,0.0
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,0.625,5.513,0.09418,8,10.0,random,0.00058,0.03017,0.01724
CMU_35_35_24_poses_120_jpos,0.0,0.25,0.48833,8,10.0,random,0.00553,0.02155,0.00862
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.625,5.598,0.08687,8,10.0,random,0.0004,0.01293,0.0
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.25,0.45,0.08698,8,10.0,random,0.00088,0.02155,0.01724
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.25,6.47,0.09335,8,10.0,random,0.00035,0.03879,0.01724
CMU_127_127_13_poses_120_jpos,0.875,0.552,0.11454,8,10.0,random,0.014,0.05172,0.01293
CMU_35_35_20_poses_120_jpos,0.25,0.32,0.211,8,10.0,random,0.00804,0.03017,0.00862
CMU_18_19_Justin_18_03_poses_120_jpos,0.0,1.407,0.11284,8,10.0,random,0.00302,0.02586,0.0
CMU_16_16_35_poses_120_jpos,0.625,0.253,0.15718,8,10.0,random,0.00872,0.03448,0.00862
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.125,1.415,0.14773,8,10.0,random,0.00388,0.03448,0.00862
CMU_20_21_rory1_20_10_poses_120_jpos,0.5,1.185,0.11911,8,10.0,random,0.00558,0.03448,0.02586
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.0,2.277,0.12468,8,10.0,random,0.0006,0.01293,0.01293
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.375,5.745,0.10487,8,10.0,random,0.00061,0.03879,0.01724
CMU_138_138_25_poses_120_jpos,1.0,1.245,0.07357,8,10.0,random,0.00272,0.02155,0.00862
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.625,0.912,0.11184,8,10.0,random,0.0007,0.02155,0.01724
CMU_88_88_10_poses_60_jpos,0.25,1.153,0.11695,8,10.0,random,0.00039,0.02155,0.01724
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.375,7.643,0.09296,8,10.0,random,0.00051,0.03448,0.00862
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.25,4.338,0.08906,8,10.0,random,0.00141,0.02586,0.00862
CMU_93_93_08_poses_60_jpos,1.0,5.452,0.07775,8,10.0,random,0.00073,0.03017,0.01293
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.5,1.315,0.13421,8,10.0,random,0.00207,0.02155,0.00862
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,0.375,3.54,0.10141,8,10.0,random,0.00176,0.03448,0.00862
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,2.507,0.0939,8,10.0,random,0.0003,0.02155,0.01724
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,0.75,3.82,0.08218,8,10.0,random,0.00142,0.02586,0.00862
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,1.0,2.848,0.08024,8,10.0,random,0.0011,0.02155,0.00862
CMU_35_35_18_poses_120_jpos,0.625,0.328,0.15563,8,10.0,random,0.00794,0.03879,0.01724
CMU_35_35_26_poses_120_jpos,0.25,0.223,0.2671,8,10.0,random,0.00512,0.02155,0.00862
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.375,0.588,0.07514,8,10.0,random,0.00018,0.00862,0.00862
CMU_108_108_18_poses_120_jpos,0.625,0.57,0.1038,8,10.0,random,0.01011,0.03448,0.01293
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.25,2.343,0.11111,8,10.0,random,0.00119,0.03448,0.00862
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,1.91,0.08845,8,10.0,random,0.00086,0.03448,0.03448
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.25,2.205,0.08776,8,10.0,random,0.00283,0.03017,0.01724
CMU_91_91_04_poses_120_jpos,0.375,7.798,0.10425,8,10.0,random,0.00093,0.03448,0.00862
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.125,1.752,0.08791,8,10.0,random,0.00187,0.02155,0.01293
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,3.408,0.09376,8,10.0,random,0.0005,0.01724,0.01293
CMU_138_138_10_poses_120_jpos,0.25,0.348,0.16168,8,10.0,random,0.00271,0.02586,0.01293
CMU_106_106_04_poses_60_jpos,0.25,2.897,0.09105,8,10.0,random,0.00118,0.03879,0.01293
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.125,0.36,0.09357,8,10.0,random,0.00027,0.00431,0.00431
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,0.5,7.52,0.09887,8,10.0,random,0.00092,0.02586,0.00431
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,0.75,0.96,0.06673,8,10.0,random,4e-05,0.00431,0.00431
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,4.23,0.06641,8,10.0,random,5e-05,0.01293,0.0
ACCAD_s007_QkWalk1_poses_120_jpos,0.625,0.562,0.12821,8,10.0,random,0.00546,0.03448,0.01724
CMU_78_78_31_poses_120_jpos,0.5,1.48,0.1102,8,10.0,random,0.00077,0.01293,0.0
CMU_76_76_03_poses_120_jpos,0.375,1.565,0.10313,8,10.0,random,0.00047,0.01724,0.01724
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,0.875,4.665,0.06035,8,10.0,random,0.00031,0.01724,0.00862
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,0.5,5.623,0.09055,8,10.0,random,0.0008,0.03448,0.01724
CMU_108_108_16_poses_120_jpos,0.25,0.88,0.13115,8,10.0,random,0.00263,0.03017,0.0
SFU_0015_0015_BasicKendo001_poses_120_jpos,0.125,4.603,0.10345,8,10.0,random,0.0016,0.03448,0.00862
DFaust_67_50020_50020_punching_poses_60_jpos,0.75,1.208,0.06916,8,10.0,random,0.00029,0.01293,0.00862
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,1.0,2.07,0.05541,8,10.0,random,6e-05,0.00431,0.00431
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,1.0,7.43,0.07725,8,10.0,random,0.0002,0.03017,0.02586
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,0.875,6.617,0.07635,8,10.0,random,0.0014,0.02586,0.00862
CMU_139_139_11_poses_60_jpos,0.375,1.55,0.09185,8,10.0,random,0.00223,0.03017,0.01724
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,0.5,3.065,0.09067,8,10.0,random,0.00023,0.00431,0.00431
KIT_379_push_recovery_left05_poses_100_jpos,0.875,4.08,0.07005,8,10.0,random,0.00013,0.00862,0.00431
CMU_122_122_55_poses_120_jpos,1.0,2.385,0.071,8,10.0,random,3e-05,0.00431,0.0
CMU_144_144_04_poses_120_jpos,0.375,5.253,0.09601,8,10.0,random,0.00014,0.01724,0.00862
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,0.625,8.44,0.08293,8,10.0,random,0.00032,0.03879,0.02586
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,0.5,3.232,0.08325,8,10.0,random,0.00073,0.02155,0.01724
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,1.0,1.623,0.05454,8,10.0,random,0.00035,0.01293,0.01293
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,1.0,5.213,0.08559,8,10.0,random,0.00199,0.03879,0.01724
CMU_122_122_15_poses_120_jpos,0.375,1.025,0.10302,8,10.0,random,0.00018,0.00431,0.00431
KIT_513_kick07_poses_100_jpos,0.625,1.735,0.07809,8,10.0,random,0.0,0.0,0.0
GRAB_s3_eyeglasses_clean_1,1.0,3.643,0.05886,8,10.0,random,9e-05,0.01293,0.00862
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,0.0,0.34,0.20284,8,10.0,random,0.00307,0.03448,0.0
KIT_425_bend_left06_poses_100_jpos,1.0,1.9,0.08144,8,10.0,random,0.00025,0.01293,0.00862
KIT_424_walking_fast08_poses_100_jpos,1.0,2.433,0.05886,8,10.0,random,0.00062,0.03017,0.02155
GRAB_s7_stapler_staple_1,1.0,4.06,0.0562,8,10.0,random,0.00027,0.00431,0.00431
CMU_122_122_03_poses_120_jpos,0.0,1.578,0.08862,8,10.0,random,0.00016,0.01293,0.00862
GRAB_s3_waterbottle_pick_all,0.75,8.058,0.06421,8,10.0,random,9e-05,0.01724,0.01724
KIT_675_walk_with_table_left04_poses_100_jpos,0.875,3.078,0.08565,8,10.0,random,0.00104,0.01724,0.01293
KIT_3_seesaw07_poses_100_jpos,1.0,2.688,0.0627,8,10.0,random,0.00025,0.01293,0.01293
CMU_137_137_36_poses_120_jpos,0.875,7.888,0.08462,8,10.0,random,0.00022,0.03448,0.03017
KIT_8_RightTurn03_poses_100_jpos,1.0,1.695,0.05587,8,10.0,random,0.00057,0.01724,0.01293
KIT_424_seesaw04_poses_100_jpos,0.875,2.515,0.06805,8,10.0,random,0.00017,0.01293,0.0
KIT_3_walking_medium08_poses_100_jpos,1.0,2.615,0.06244,8,10.0,random,0.00128,0.02155,0.01293
