clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
CMU_144_144_04_poses_120_jpos,1.0,8.435,0.06521,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,0.75,7.815,0.08544,8,10.0,random
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,1.0,3.127,0.06588,8,10.0,random
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,1.0,2.562,0.05245,8,10.0,random
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,1.0,2.297,0.0782,8,10.0,random
CMU_122_122_15_poses_120_jpos,0.625,1.203,0.06967,8,10.0,random
KIT_513_kick07_poses_100_jpos,0.875,1.65,0.0414,8,10.0,random
GRAB_s3_eyeglasses_clean_1,1.0,5.338,0.05291,8,10.0,random
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,0.375,1.653,0.12927,8,10.0,random
KIT_425_bend_left06_poses_100_jpos,1.0,1.512,0.05774,8,10.0,random
KIT_424_walking_fast08_poses_100_jpos,1.0,2.027,0.0485,8,10.0,random
GRAB_s7_stapler_staple_1,1.0,3.357,0.05714,8,10.0,random
CMU_122_122_03_poses_120_jpos,0.375,1.27,0.08636,8,10.0,random
GRAB_s3_waterbottle_pick_all,0.625,6.718,0.06229,8,10.0,random
KIT_675_walk_with_table_left04_poses_100_jpos,0.875,2.73,0.07337,8,10.0,random
KIT_3_seesaw07_poses_100_jpos,0.875,2.433,0.06561,8,10.0,random
CMU_137_137_36_poses_120_jpos,0.5,5.503,0.09445,8,10.0,random
KIT_8_RightTurn03_poses_100_jpos,1.0,3.405,0.05114,8,10.0,random
KIT_424_seesaw04_poses_100_jpos,0.75,3.485,0.0558,8,10.0,random
KIT_3_walking_medium08_poses_100_jpos,1.0,2.328,0.0542,8,10.0,random
KIT_421_push_recovery_stand_left03_poses_100_jpos,1.0,3.455,0.04131,8,10.0,random
GRAB_s6_mouse_pick_all,0.75,5.43,0.06048,8,10.0,random
KIT_8_WalkingStraightForwards09_poses_100_jpos,1.0,2.355,0.04423,8,10.0,random
CMU_106_106_13_poses_60_jpos,1.0,2.285,0.04761,8,10.0,random
GRAB_s4_apple_pick_all,0.875,5.895,0.0661,8,10.0,random
GRAB_s6_spherelarge_pick_all,1.0,5.978,0.05699,8,10.0,random
KIT_572_throw_left04_poses_100_jpos,0.5,0.85,0.05934,8,10.0,random
GRAB_s5_spherelarge_pick_all,0.875,5.795,0.05407,8,10.0,random
GRAB_s8_toruslarge_inspect_1,1.0,4.473,0.05182,8,10.0,random
GRAB_s9_stapler_pass_1,1.0,2.632,0.05463,8,10.0,random
GRAB_s1_toothpaste_pick_all,0.875,8.855,0.0525,8,10.0,random
KIT_3_wave_left01_poses_100_jpos,0.75,0.545,0.0448,8,10.0,random
Eyes_Japan_Dataset_kanno_pose-19-funny-kanno_poses_120_jpos,0.625,6.777,0.07205,8,10.0,random
Eyes_Japan_Dataset_kanno_gesture_etc-50-syuriken-kanno_poses_120_jpos,1.0,7.812,0.06672,8,10.0,random
KIT_950_Wipe_Back_Small_Circle_01_poses_100_jpos,0.375,1.895,0.12293,8,10.0,random
KIT_1487_stirring_in_the_bowl07_poses_100_jpos,1.0,4.135,0.04586,8,10.0,random
KIT_1717_displace_from_left_to_right_14_poses_100_jpos,1.0,1.393,0.04021,8,10.0,random
KIT_969_Trial_30_poses_100_jpos,1.0,5.83,0.04273,8,10.0,random
KIT_572_wipe_circular_left07_poses_100_jpos,1.0,4.128,0.0359,8,10.0,random
KIT_1229_hand_through_hair_right_arm_02_poses_100_jpos,1.0,1.84,0.04767,8,10.0,random
KIT_291_shake_hand05_poses_100_jpos,1.0,0.65,0.02791,8,10.0,random
