clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.375,4.6,0.07473,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.375,1.46,0.0899,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.375,6.9,0.09881,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,0.985,0.04723,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,9.4,0.07293,8,10.0,random
CMU_35_35_24_poses_120_jpos,1.0,0.545,0.0772,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.875,7.54,0.13007,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.25,0.51,0.06459,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.5,5.777,0.10088,8,10.0,random
CMU_127_127_13_poses_120_jpos,1.0,0.938,0.08384,8,10.0,random
CMU_35_35_20_poses_120_jpos,1.0,0.47,0.07778,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.625,2.638,0.08354,8,10.0,random
CMU_16_16_35_poses_120_jpos,1.0,0.907,0.0791,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.0,1.823,0.1325,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,0.75,1.893,0.10433,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.0,2.047,0.09302,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.75,8.555,0.0908,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.5,0.05953,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.75,0.44,0.07197,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.375,1.005,0.10814,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.875,8.16,0.07851,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.5,5.998,0.0756,8,10.0,random
CMU_93_93_08_poses_60_jpos,1.0,5.305,0.06465,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.375,1.765,0.08669,8,10.0,random
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,1.0,6.418,0.05552,8,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,1.77,0.06496,8,10.0,random
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,1.0,4.03,0.05067,8,10.0,random
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,1.0,5.393,0.06778,8,10.0,random
CMU_35_35_18_poses_120_jpos,1.0,0.685,0.07923,8,10.0,random
CMU_35_35_26_poses_120_jpos,1.0,0.64,0.07649,8,10.0,random
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.25,0.378,0.12971,8,10.0,random
CMU_108_108_18_poses_120_jpos,1.0,0.927,0.08081,8,10.0,random
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.625,3.635,0.07983,8,10.0,random
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,2.15,0.07841,8,10.0,random
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.125,3.805,0.06981,8,10.0,random
CMU_91_91_04_poses_120_jpos,0.875,7.71,0.06751,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.25,4.888,0.07141,8,10.0,random
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,2.708,0.08598,8,10.0,random
CMU_138_138_10_poses_120_jpos,0.125,0.875,0.08884,8,10.0,random
CMU_106_106_04_poses_60_jpos,0.5,2.397,0.06972,8,10.0,random
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.0,0.223,0.16218,8,10.0,random
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,1.0,7.968,0.06852,8,10.0,random
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,1.0,1.55,0.07271,8,10.0,random
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,2.567,0.06245,8,10.0,random
ACCAD_s007_QkWalk1_poses_120_jpos,1.0,0.662,0.07644,8,10.0,random
CMU_78_78_31_poses_120_jpos,0.25,2.428,0.08986,8,10.0,random
CMU_76_76_03_poses_120_jpos,0.625,2.385,0.07184,8,10.0,random
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,1.0,5.138,0.05117,8,10.0,random
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,1.0,8.275,0.07287,8,10.0,random
CMU_108_108_16_poses_120_jpos,0.625,0.98,0.09426,8,10.0,random
SFU_0015_0015_BasicKendo001_poses_120_jpos,0.75,8.095,0.08341,8,10.0,random
DFaust_67_50020_50020_punching_poses_60_jpos,0.875,1.09,0.05325,8,10.0,random
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,1.0,1.85,0.04456,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,1.0,7.413,0.06,8,10.0,random
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,0.875,6.555,0.07309,8,10.0,random
CMU_139_139_11_poses_60_jpos,0.875,2.393,0.07039,8,10.0,random
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,0.75,3.51,0.11655,8,10.0,random
KIT_379_push_recovery_left05_poses_100_jpos,1.0,1.165,0.03365,8,10.0,random
CMU_122_122_55_poses_120_jpos,1.0,3.19,0.06106,8,10.0,random
CMU_144_144_04_poses_120_jpos,1.0,8.248,0.06107,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,1.0,6.938,0.05348,8,10.0,random
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,1.0,3.208,0.0528,8,10.0,random
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,1.0,1.998,0.04173,8,10.0,random
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,0.875,3.545,0.06483,8,10.0,random
CMU_122_122_15_poses_120_jpos,0.875,1.927,0.05649,8,10.0,random
KIT_513_kick07_poses_100_jpos,0.625,1.498,0.06892,8,10.0,random
GRAB_s3_eyeglasses_clean_1,1.0,6.175,0.04353,8,10.0,random
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,0.375,2.373,0.09833,8,10.0,random
KIT_425_bend_left06_poses_100_jpos,1.0,1.833,0.05313,8,10.0,random
KIT_424_walking_fast08_poses_100_jpos,1.0,2.502,0.04387,8,10.0,random
GRAB_s7_stapler_staple_1,1.0,3.42,0.05243,8,10.0,random
CMU_122_122_03_poses_120_jpos,0.625,1.12,0.10756,8,10.0,random
GRAB_s3_waterbottle_pick_all,1.0,8.523,0.05392,8,10.0,random
KIT_675_walk_with_table_left04_poses_100_jpos,1.0,3.198,0.06546,8,10.0,random
KIT_3_seesaw07_poses_100_jpos,1.0,3.375,0.04825,8,10.0,random
CMU_137_137_36_poses_120_jpos,1.0,8.918,0.07423,8,10.0,random
KIT_8_RightTurn03_poses_100_jpos,1.0,2.74,0.04743,8,10.0,random
KIT_424_seesaw04_poses_100_jpos,1.0,3.74,0.05139,8,10.0,random
KIT_3_walking_medium08_poses_100_jpos,1.0,2.59,0.04684,8,10.0,random
KIT_421_push_recovery_stand_left03_poses_100_jpos,1.0,4.18,0.0399,8,10.0,random
GRAB_s6_mouse_pick_all,1.0,9.645,0.03922,8,10.0,random
KIT_8_WalkingStraightForwards09_poses_100_jpos,1.0,3.837,0.04789,8,10.0,random
CMU_106_106_13_poses_60_jpos,0.875,2.073,0.04785,8,10.0,random
GRAB_s4_apple_pick_all,1.0,8.29,0.06058,8,10.0,random
GRAB_s6_spherelarge_pick_all,1.0,6.06,0.04576,8,10.0,random
KIT_572_throw_left04_poses_100_jpos,1.0,1.99,0.0335,8,10.0,random
GRAB_s5_spherelarge_pick_all,1.0,8.67,0.03626,8,10.0,random
GRAB_s8_toruslarge_inspect_1,1.0,3.172,0.04609,8,10.0,random
GRAB_s9_stapler_pass_1,1.0,4.062,0.04478,8,10.0,random
GRAB_s1_toothpaste_pick_all,1.0,6.788,0.05016,8,10.0,random
KIT_3_wave_left01_poses_100_jpos,1.0,2.24,0.03527,8,10.0,random
Eyes_Japan_Dataset_kanno_pose-19-funny-kanno_poses_120_jpos,1.0,8.815,0.04517,8,10.0,random
Eyes_Japan_Dataset_kanno_gesture_etc-50-syuriken-kanno_poses_120_jpos,1.0,6.325,0.04611,8,10.0,random
KIT_950_Wipe_Back_Small_Circle_01_poses_100_jpos,0.625,3.893,0.1263,8,10.0,random
