clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start,effort_sat_mean,effort_sat_peak,effort_sat_at_end
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.125,5.345,0.07516,8,10.0,random,0.00071,0.02586,0.0
CMU_102_102_29_poses_120_jpos,0.0,1.288,0.11857,8,10.0,random,0.00343,0.05172,0.04741
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.25,5.758,0.07583,8,10.0,random,0.00092,0.03879,0.01724
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,2.618,0.07484,8,10.0,random,0.0002,0.01293,0.01293
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,6.718,0.0628,8,10.0,random,0.00039,0.02586,0.00862
CMU_35_35_24_poses_120_jpos,0.5,0.718,0.16169,8,10.0,random,0.00518,0.03017,0.00862
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.5,6.155,0.11364,8,10.0,random,0.00147,0.03448,0.00862
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.25,0.802,0.07864,8,10.0,random,0.00048,0.01724,0.01724
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.125,5.407,0.10345,8,10.0,random,0.00085,0.02586,0.00862
CMU_127_127_13_poses_120_jpos,0.625,0.503,0.12396,8,10.0,random,0.00608,0.03448,0.00862
CMU_35_35_20_poses_120_jpos,0.625,0.64,0.14792,8,10.0,random,0.00857,0.03448,0.00431
CMU_18_19_Justin_18_03_poses_120_jpos,0.25,2.09,0.11999,8,10.0,random,0.00332,0.0431,0.02155
CMU_16_16_35_poses_120_jpos,0.625,0.443,0.12098,8,10.0,random,0.01211,0.04741,0.03017
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.375,1.53,0.08438,8,10.0,random,0.00119,0.03017,0.00862
CMU_20_21_rory1_20_10_poses_120_jpos,0.5,1.853,0.12142,8,10.0,random,0.00282,0.0431,0.02586
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.0,3.417,0.09052,8,10.0,random,0.0002,0.01293,0.00862
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.375,6.205,0.0905,8,10.0,random,0.00088,0.03879,0.03017
CMU_138_138_25_poses_120_jpos,1.0,1.385,0.06209,8,10.0,random,0.00155,0.03448,0.03017
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.625,1.57,0.09737,8,10.0,random,0.00075,0.01293,0.0
CMU_88_88_10_poses_60_jpos,0.125,0.88,0.13323,8,10.0,random,0.0012,0.02155,0.01724
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.5,7.48,0.08677,8,10.0,random,0.00103,0.03879,0.02586
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.625,3.268,0.08095,8,10.0,random,0.00182,0.0431,0.02586
CMU_93_93_08_poses_60_jpos,1.0,3.413,0.06024,8,10.0,random,0.00054,0.02155,0.01293
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.5,1.808,0.07722,8,10.0,random,0.00155,0.03017,0.01293
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,0.875,5.188,0.06853,8,10.0,random,0.00063,0.03448,0.00862
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,2.07,0.06041,8,10.0,random,0.0005,0.02155,0.02155
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,1.0,4.5,0.06667,8,10.0,random,0.00133,0.03448,0.02586
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,0.875,3.493,0.07217,8,10.0,random,0.00136,0.03017,0.01724
CMU_35_35_18_poses_120_jpos,0.75,0.91,0.15223,8,10.0,random,0.00578,0.03879,0.01293
CMU_35_35_26_poses_120_jpos,0.75,0.422,0.11253,8,10.0,random,0.01472,0.03448,0.02586
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.625,0.62,0.10771,8,10.0,random,0.00064,0.01724,0.01293
CMU_108_108_18_poses_120_jpos,0.375,0.695,0.14601,8,10.0,random,0.00583,0.03448,0.01293
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.25,3.777,0.10928,8,10.0,random,0.00156,0.03448,0.00862
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,0.75,1.445,0.09121,8,10.0,random,0.00051,0.00862,0.00431
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.125,1.865,0.0837,8,10.0,random,0.00099,0.02155,0.00431
CMU_91_91_04_poses_120_jpos,0.625,6.26,0.0883,8,10.0,random,0.00068,0.03017,0.00862
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.125,2.877,0.07993,8,10.0,random,0.00169,0.02586,0.01293
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,4.43,0.07656,8,10.0,random,0.00032,0.02155,0.01724
CMU_138_138_10_poses_120_jpos,0.375,1.002,0.09585,8,10.0,random,0.00289,0.03879,0.00862
CMU_106_106_04_poses_60_jpos,0.5,2.453,0.06783,8,10.0,random,0.0017,0.03017,0.00431
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.5,0.445,0.06765,8,10.0,random,0.00072,0.00862,0.00431
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,0.625,7.213,0.08621,8,10.0,random,0.00094,0.03879,0.00862
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,1.0,0.828,0.06097,8,10.0,random,0.0,0.0,0.0
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,5.413,0.06256,8,10.0,random,0.00024,0.02155,0.00862
ACCAD_s007_QkWalk1_poses_120_jpos,0.5,1.04,0.13463,8,10.0,random,0.00239,0.02586,0.00431
