clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.75,8.14,0.0616,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.25,1.748,0.1079,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.375,6.325,0.08684,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,1.48,0.05472,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,8.588,0.06361,8,10.0,random
CMU_35_35_24_poses_120_jpos,1.0,0.55,0.0752,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.875,6.0,0.08603,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.25,0.79,0.08167,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.625,8.213,0.08106,8,10.0,random
CMU_127_127_13_poses_120_jpos,1.0,0.545,0.08347,8,10.0,random
CMU_35_35_20_poses_120_jpos,1.0,0.492,0.0765,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.875,2.31,0.0812,8,10.0,random
CMU_16_16_35_poses_120_jpos,1.0,0.938,0.0917,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.625,1.143,0.06632,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,1.0,2.272,0.07485,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.0,2.805,0.12307,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.5,6.713,0.08294,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.42,0.05808,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.75,1.95,0.10264,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.5,1.195,0.08384,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.75,9.065,0.08439,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.25,5.657,0.10157,8,10.0,random
CMU_93_93_08_poses_60_jpos,1.0,5.355,0.06585,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.375,1.552,0.08117,8,10.0,random
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,1.0,5.058,0.05523,8,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,1.98,0.06333,8,10.0,random
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,1.0,3.758,0.05357,8,10.0,random
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,1.0,4.51,0.06954,8,10.0,random
CMU_35_35_18_poses_120_jpos,1.0,0.672,0.0738,8,10.0,random
CMU_35_35_26_poses_120_jpos,1.0,0.233,0.07017,8,10.0,random
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.875,0.708,0.05655,8,10.0,random
CMU_108_108_18_poses_120_jpos,1.0,0.897,0.0752,8,10.0,random
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.75,8.308,0.09805,8,10.0,random
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,1.438,0.0592,8,10.0,random
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.375,2.89,0.0588,8,10.0,random
CMU_91_91_04_poses_120_jpos,0.875,7.657,0.06425,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.25,4.293,0.08125,8,10.0,random
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,3.44,0.07438,8,10.0,random
CMU_138_138_10_poses_120_jpos,0.625,1.228,0.07617,8,10.0,random
CMU_106_106_04_poses_60_jpos,0.5,1.818,0.06545,8,10.0,random
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.5,0.525,0.06901,8,10.0,random
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,1.0,9.02,0.07489,8,10.0,random
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,1.0,1.052,0.06827,8,10.0,random
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,5.03,0.06671,8,10.0,random
ACCAD_s007_QkWalk1_poses_120_jpos,1.0,1.545,0.08907,8,10.0,random
CMU_78_78_31_poses_120_jpos,0.5,0.667,0.07559,8,10.0,random
CMU_76_76_03_poses_120_jpos,0.125,1.258,0.08036,8,10.0,random
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,1.0,4.952,0.0565,8,10.0,random
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,0.75,7.525,0.07752,8,10.0,random
CMU_108_108_16_poses_120_jpos,0.0,0.875,0.11477,8,10.0,random
SFU_0015_0015_BasicKendo001_poses_120_jpos,0.75,8.625,0.07655,8,10.0,random
DFaust_67_50020_50020_punching_poses_60_jpos,0.5,0.94,0.05901,8,10.0,random
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,1.0,2.297,0.05455,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,0.75,6.885,0.06423,8,10.0,random
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,1.0,9.683,0.06454,8,10.0,random
CMU_139_139_11_poses_60_jpos,1.0,2.3,0.05885,8,10.0,random
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,1.0,3.752,0.05669,8,10.0,random
KIT_379_push_recovery_left05_poses_100_jpos,1.0,3.488,0.04866,8,10.0,random
CMU_122_122_55_poses_120_jpos,1.0,2.485,0.06881,8,10.0,random
CMU_144_144_04_poses_120_jpos,1.0,8.383,0.06193,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,1.0,9.023,0.05869,8,10.0,random
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,1.0,2.805,0.05455,8,10.0,random
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,1.0,2.245,0.04354,8,10.0,random
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,0.875,4.173,0.07635,8,10.0,random
CMU_122_122_15_poses_120_jpos,1.0,2.808,0.07349,8,10.0,random
KIT_513_kick07_poses_100_jpos,0.75,1.735,0.04229,8,10.0,random
GRAB_s3_eyeglasses_clean_1,1.0,4.185,0.04026,8,10.0,random
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,0.125,1.078,0.17083,8,10.0,random
KIT_425_bend_left06_poses_100_jpos,1.0,2.343,0.05827,8,10.0,random
KIT_424_walking_fast08_poses_100_jpos,1.0,3.183,0.05313,8,10.0,random
GRAB_s7_stapler_staple_1,1.0,2.743,0.0453,8,10.0,random
CMU_122_122_03_poses_120_jpos,0.625,1.85,0.09901,8,10.0,random
GRAB_s3_waterbottle_pick_all,1.0,6.643,0.04837,8,10.0,random
KIT_675_walk_with_table_left04_poses_100_jpos,1.0,3.748,0.0659,8,10.0,random
KIT_3_seesaw07_poses_100_jpos,1.0,2.593,0.04675,8,10.0,random
CMU_137_137_36_poses_120_jpos,1.0,5.378,0.06438,8,10.0,random
KIT_8_RightTurn03_poses_100_jpos,1.0,2.015,0.04222,8,10.0,random
KIT_424_seesaw04_poses_100_jpos,1.0,3.565,0.04933,8,10.0,random
KIT_3_walking_medium08_poses_100_jpos,1.0,3.803,0.05148,8,10.0,random
KIT_421_push_recovery_stand_left03_poses_100_jpos,1.0,5.147,0.04713,8,10.0,random
GRAB_s6_mouse_pick_all,1.0,7.008,0.03838,8,10.0,random
KIT_8_WalkingStraightForwards09_poses_100_jpos,1.0,3.735,0.04421,8,10.0,random
CMU_106_106_13_poses_60_jpos,1.0,2.968,0.04373,8,10.0,random
GRAB_s4_apple_pick_all,1.0,7.585,0.05883,8,10.0,random
GRAB_s6_spherelarge_pick_all,1.0,7.0,0.03991,8,10.0,random
KIT_572_throw_left04_poses_100_jpos,1.0,2.34,0.04092,8,10.0,random
GRAB_s5_spherelarge_pick_all,1.0,8.64,0.03543,8,10.0,random
GRAB_s8_toruslarge_inspect_1,1.0,2.067,0.03444,8,10.0,random
GRAB_s9_stapler_pass_1,1.0,3.053,0.04832,8,10.0,random
GRAB_s1_toothpaste_pick_all,1.0,8.777,0.05014,8,10.0,random
KIT_3_wave_left01_poses_100_jpos,1.0,2.863,0.03776,8,10.0,random
Eyes_Japan_Dataset_kanno_pose-19-funny-kanno_poses_120_jpos,1.0,7.213,0.04637,8,10.0,random
Eyes_Japan_Dataset_kanno_gesture_etc-50-syuriken-kanno_poses_120_jpos,1.0,8.933,0.03784,8,10.0,random
KIT_950_Wipe_Back_Small_Circle_01_poses_100_jpos,0.125,0.785,0.11043,8,10.0,random
KIT_1487_stirring_in_the_bowl07_poses_100_jpos,1.0,5.527,0.03771,8,10.0,random
KIT_1717_displace_from_left_to_right_14_poses_100_jpos,1.0,2.34,0.02716,8,10.0,random
KIT_969_Trial_30_poses_100_jpos,1.0,3.95,0.03518,8,10.0,random
KIT_572_wipe_circular_left07_poses_100_jpos,1.0,2.43,0.0264,8,10.0,random
KIT_1229_hand_through_hair_right_arm_02_poses_100_jpos,1.0,1.9,0.02895,8,10.0,random
KIT_291_shake_hand05_poses_100_jpos,1.0,1.913,0.0304,8,10.0,random
