clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.5,5.455,0.07213,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.25,2.735,0.09604,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.375,5.098,0.07919,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,1.883,0.06498,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,10.0,0.07925,8,10.0,random
CMU_35_35_24_poses_120_jpos,0.875,0.53,0.09757,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,1.0,7.9,0.07804,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.125,0.27,0.08432,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.875,8.822,0.0942,8,10.0,random
CMU_127_127_13_poses_120_jpos,1.0,0.667,0.10329,8,10.0,random
CMU_35_35_20_poses_120_jpos,1.0,0.725,0.09979,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.375,2.235,0.09012,8,10.0,random
CMU_16_16_35_poses_120_jpos,0.875,0.453,0.08643,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.25,1.605,0.12585,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,0.75,1.328,0.10802,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.375,2.995,0.07568,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.375,5.543,0.09731,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.86,0.06482,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.375,0.57,0.10499,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.625,0.93,0.07823,8,10.0,random
