clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.625,5.885,0.06616,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.25,1.555,0.0909,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.75,6.083,0.05946,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,2.16,0.06909,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,8.15,0.06588,8,10.0,random
CMU_35_35_24_poses_120_jpos,1.0,0.93,0.08483,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.875,8.137,0.07088,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.125,0.562,0.09708,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.125,3.455,0.08012,8,10.0,random
CMU_127_127_13_poses_120_jpos,0.75,1.062,0.11586,8,10.0,random
CMU_35_35_20_poses_120_jpos,1.0,0.65,0.08556,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.625,2.533,0.08212,8,10.0,random
CMU_16_16_35_poses_120_jpos,1.0,0.588,0.07622,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.375,2.013,0.07148,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,1.0,2.152,0.08864,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.25,2.35,0.11226,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.625,7.593,0.09401,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.667,0.06009,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.75,1.492,0.07015,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.375,1.665,0.09415,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,1.0,9.2,0.07933,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.375,5.338,0.07585,8,10.0,random
CMU_93_93_08_poses_60_jpos,1.0,5.088,0.05776,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.0,1.808,0.10808,8,10.0,random
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,1.0,3.995,0.05457,8,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,2.397,0.07397,8,10.0,random
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,1.0,4.183,0.05499,8,10.0,random
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,1.0,4.005,0.06251,8,10.0,random
CMU_35_35_18_poses_120_jpos,1.0,0.598,0.07775,8,10.0,random
CMU_35_35_26_poses_120_jpos,1.0,0.743,0.08794,8,10.0,random
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.625,0.655,0.05537,8,10.0,random
CMU_108_108_18_poses_120_jpos,0.875,1.12,0.0913,8,10.0,random
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.5,5.625,0.08644,8,10.0,random
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,2.475,0.07629,8,10.0,random
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.125,4.11,0.08489,8,10.0,random
CMU_91_91_04_poses_120_jpos,1.0,10.0,0.06488,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.25,4.615,0.07346,8,10.0,random
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,3.357,0.08511,8,10.0,random
CMU_138_138_10_poses_120_jpos,0.375,0.873,0.0861,8,10.0,random
CMU_106_106_04_poses_60_jpos,0.375,4.492,0.06645,8,10.0,random
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.25,0.532,0.09676,8,10.0,random
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,1.0,7.237,0.07621,8,10.0,random
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,1.0,1.288,0.06777,8,10.0,random
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,3.888,0.05839,8,10.0,random
ACCAD_s007_QkWalk1_poses_120_jpos,1.0,1.463,0.07623,8,10.0,random
CMU_78_78_31_poses_120_jpos,0.25,1.815,0.10112,8,10.0,random
CMU_76_76_03_poses_120_jpos,0.375,2.205,0.08486,8,10.0,random
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,1.0,4.725,0.0528,8,10.0,random
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,0.875,8.328,0.07773,8,10.0,random
CMU_108_108_16_poses_120_jpos,0.375,0.94,0.08228,8,10.0,random
SFU_0015_0015_BasicKendo001_poses_120_jpos,0.625,7.703,0.07007,8,10.0,random
DFaust_67_50020_50020_punching_poses_60_jpos,0.75,0.98,0.04865,8,10.0,random
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,1.0,1.723,0.0461,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,0.75,5.853,0.05918,8,10.0,random
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,1.0,8.918,0.0628,8,10.0,random
CMU_139_139_11_poses_60_jpos,1.0,2.165,0.06317,8,10.0,random
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,0.75,1.445,0.06096,8,10.0,random
KIT_379_push_recovery_left05_poses_100_jpos,1.0,2.882,0.04663,8,10.0,random
CMU_122_122_55_poses_120_jpos,1.0,4.732,0.06291,8,10.0,random
CMU_144_144_04_poses_120_jpos,1.0,7.237,0.05366,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,1.0,9.365,0.05609,8,10.0,random
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,1.0,3.783,0.05272,8,10.0,random
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,1.0,1.885,0.04214,8,10.0,random
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,1.0,4.025,0.0637,8,10.0,random
CMU_122_122_15_poses_120_jpos,1.0,2.533,0.06151,8,10.0,random
KIT_513_kick07_poses_100_jpos,0.625,1.855,0.0539,8,10.0,random
GRAB_s3_eyeglasses_clean_1,1.0,6.272,0.04211,8,10.0,random
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,0.125,0.647,0.17089,8,10.0,random
KIT_425_bend_left06_poses_100_jpos,1.0,2.337,0.05226,8,10.0,random
KIT_424_walking_fast08_poses_100_jpos,1.0,2.375,0.04335,8,10.0,random
GRAB_s7_stapler_staple_1,1.0,4.173,0.04374,8,10.0,random
CMU_122_122_03_poses_120_jpos,0.375,1.347,0.09524,8,10.0,random
GRAB_s3_waterbottle_pick_all,1.0,8.393,0.05359,8,10.0,random
KIT_675_walk_with_table_left04_poses_100_jpos,1.0,2.72,0.06204,8,10.0,random
KIT_3_seesaw07_poses_100_jpos,1.0,2.578,0.04762,8,10.0,random
CMU_137_137_36_poses_120_jpos,1.0,7.15,0.07299,8,10.0,random
KIT_8_RightTurn03_poses_100_jpos,1.0,2.87,0.04336,8,10.0,random
KIT_424_seesaw04_poses_100_jpos,1.0,4.635,0.05107,8,10.0,random
KIT_3_walking_medium08_poses_100_jpos,1.0,2.805,0.04315,8,10.0,random
KIT_421_push_recovery_stand_left03_poses_100_jpos,1.0,5.9,0.04325,8,10.0,random
GRAB_s6_mouse_pick_all,1.0,7.225,0.03723,8,10.0,random
KIT_8_WalkingStraightForwards09_poses_100_jpos,1.0,2.285,0.03874,8,10.0,random
CMU_106_106_13_poses_60_jpos,1.0,2.295,0.04067,8,10.0,random
GRAB_s4_apple_pick_all,1.0,6.348,0.051,8,10.0,random
GRAB_s6_spherelarge_pick_all,1.0,5.88,0.0399,8,10.0,random
KIT_572_throw_left04_poses_100_jpos,1.0,2.147,0.03726,8,10.0,random
GRAB_s5_spherelarge_pick_all,1.0,6.862,0.03592,8,10.0,random
GRAB_s8_toruslarge_inspect_1,1.0,2.365,0.03943,8,10.0,random
GRAB_s9_stapler_pass_1,1.0,1.823,0.04753,8,10.0,random
GRAB_s1_toothpaste_pick_all,1.0,8.34,0.04618,8,10.0,random
KIT_3_wave_left01_poses_100_jpos,1.0,3.038,0.03954,8,10.0,random
