clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start,effort_sat_mean,effort_sat_peak,effort_sat_at_end
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.375,5.605,0.07728,8,10.0,random,0.00063,0.0431,0.03017
CMU_102_102_29_poses_120_jpos,0.25,0.89,0.10517,8,10.0,random,0.00262,0.03448,0.02586
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.5,4.373,0.0808,8,10.0,random,0.00065,0.03879,0.03017
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,1.99,0.06658,8,10.0,random,0.00061,0.02586,0.02155
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,0.75,8.69,0.07369,8,10.0,random,0.00041,0.03017,0.02586
CMU_35_35_24_poses_120_jpos,0.375,0.463,0.196,8,10.0,random,0.00454,0.02586,0.01724
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.875,7.565,0.08493,8,10.0,random,0.00092,0.03017,0.01293
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.25,0.958,0.08038,8,10.0,random,0.00023,0.01293,0.01293
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.375,5.21,0.10723,8,10.0,random,0.00284,0.04741,0.00431
CMU_127_127_13_poses_120_jpos,0.5,0.805,0.15094,8,10.0,random,0.00587,0.03017,0.00862
CMU_35_35_20_poses_120_jpos,0.75,0.45,0.11496,8,10.0,random,0.00736,0.0431,0.02586
CMU_18_19_Justin_18_03_poses_120_jpos,0.125,0.84,0.10434,8,10.0,random,0.00016,0.00431,0.0
CMU_16_16_35_poses_120_jpos,0.625,0.21,0.10431,8,10.0,random,0.00485,0.01724,0.01293
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.25,1.472,0.11354,8,10.0,random,0.00063,0.01293,0.0
CMU_20_21_rory1_20_10_poses_120_jpos,0.5,1.917,0.1068,8,10.0,random,0.00374,0.04741,0.03448
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.125,2.297,0.08079,8,10.0,random,0.00012,0.01293,0.01293
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.125,3.968,0.1047,8,10.0,random,0.00154,0.03448,0.01293
CMU_138_138_25_poses_120_jpos,1.0,1.812,0.06137,8,10.0,random,0.00032,0.01724,0.01293
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.75,1.495,0.0846,8,10.0,random,0.00066,0.02155,0.01724
CMU_88_88_10_poses_60_jpos,0.125,0.63,0.12302,8,10.0,random,0.00228,0.01724,0.00862
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.625,5.753,0.07881,8,10.0,random,0.00162,0.04741,0.01724
