clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.125,4.692,0.07342,8,10.0,random
CMU_102_102_29_poses_120_jpos,0.125,2.062,0.12354,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.375,5.605,0.0832,8,10.0,random
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,1.0,1.895,0.06095,8,10.0,random
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.0,8.623,0.07134,8,10.0,random
CMU_35_35_24_poses_120_jpos,0.75,0.468,0.10669,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,1.0,8.037,0.07704,8,10.0,random
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.125,0.238,0.0661,8,10.0,random
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.125,4.938,0.09458,8,10.0,random
CMU_127_127_13_poses_120_jpos,0.75,0.613,0.11685,8,10.0,random
CMU_35_35_20_poses_120_jpos,1.0,0.44,0.08557,8,10.0,random
CMU_18_19_Justin_18_03_poses_120_jpos,0.875,3.15,0.08218,8,10.0,random
CMU_16_16_35_poses_120_jpos,1.0,0.593,0.08245,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.375,1.877,0.06993,8,10.0,random
CMU_20_21_rory1_20_10_poses_120_jpos,0.625,1.65,0.11758,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.125,1.445,0.12,8,10.0,random
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.625,7.777,0.08237,8,10.0,random
CMU_138_138_25_poses_120_jpos,1.0,1.482,0.06805,8,10.0,random
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.75,1.603,0.07765,8,10.0,random
CMU_88_88_10_poses_60_jpos,0.5,1.312,0.10751,8,10.0,random
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.5,6.79,0.09005,8,10.0,random
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.375,3.988,0.0867,8,10.0,random
CMU_93_93_08_poses_60_jpos,1.0,4.97,0.06519,8,10.0,random
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.25,1.718,0.11963,8,10.0,random
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,1.0,4.76,0.0675,8,10.0,random
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,1.623,0.05294,8,10.0,random
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,0.875,3.772,0.07023,8,10.0,random
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,0.875,4.07,0.07339,8,10.0,random
CMU_35_35_18_poses_120_jpos,1.0,0.69,0.08513,8,10.0,random
CMU_35_35_26_poses_120_jpos,0.875,0.55,0.09778,8,10.0,random
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.75,0.552,0.07084,8,10.0,random
CMU_108_108_18_poses_120_jpos,0.875,0.728,0.08861,8,10.0,random
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.25,3.79,0.09772,8,10.0,random
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,1.0,2.027,0.07007,8,10.0,random
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.0,2.453,0.10655,8,10.0,random
CMU_91_91_04_poses_120_jpos,0.75,5.918,0.06856,8,10.0,random
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.375,2.385,0.09765,8,10.0,random
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,2.485,0.09663,8,10.0,random
CMU_138_138_10_poses_120_jpos,0.0,0.508,0.12825,8,10.0,random
CMU_106_106_04_poses_60_jpos,0.625,2.58,0.07162,8,10.0,random
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.0,0.17,0.15302,8,10.0,random
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,0.875,9.48,0.0852,8,10.0,random
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,1.0,1.383,0.06912,8,10.0,random
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,1.0,4.258,0.06272,8,10.0,random
ACCAD_s007_QkWalk1_poses_120_jpos,0.875,1.34,0.08615,8,10.0,random
CMU_78_78_31_poses_120_jpos,0.125,2.013,0.12559,8,10.0,random
CMU_76_76_03_poses_120_jpos,0.125,0.715,0.10664,8,10.0,random
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,1.0,4.723,0.05395,8,10.0,random
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,0.75,7.152,0.07547,8,10.0,random
CMU_108_108_16_poses_120_jpos,0.625,0.775,0.07799,8,10.0,random
SFU_0015_0015_BasicKendo001_poses_120_jpos,0.5,8.13,0.0798,8,10.0,random
DFaust_67_50020_50020_punching_poses_60_jpos,0.5,0.925,0.08882,8,10.0,random
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,1.0,2.007,0.04559,8,10.0,random
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,0.875,7.475,0.065,8,10.0,random
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,0.875,7.647,0.06892,8,10.0,random
CMU_139_139_11_poses_60_jpos,0.75,2.11,0.07627,8,10.0,random
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,0.875,3.587,0.0595,8,10.0,random
KIT_379_push_recovery_left05_poses_100_jpos,1.0,3.68,0.05211,8,10.0,random
CMU_122_122_55_poses_120_jpos,1.0,3.533,0.06224,8,10.0,random
CMU_144_144_04_poses_120_jpos,1.0,9.318,0.06997,8,10.0,random
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,1.0,7.268,0.05789,8,10.0,random
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,1.0,3.585,0.05872,8,10.0,random
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,1.0,1.45,0.03746,8,10.0,random
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,0.75,4.812,0.07413,8,10.0,random
CMU_122_122_15_poses_120_jpos,0.75,1.532,0.05972,8,10.0,random
KIT_513_kick07_poses_100_jpos,0.375,0.925,0.10755,8,10.0,random
GRAB_s3_eyeglasses_clean_1,1.0,3.448,0.04609,8,10.0,random
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,0.0,0.715,0.19586,8,10.0,random
KIT_425_bend_left06_poses_100_jpos,1.0,2.163,0.06,8,10.0,random
KIT_424_walking_fast08_poses_100_jpos,1.0,2.51,0.04562,8,10.0,random
GRAB_s7_stapler_staple_1,1.0,3.935,0.04512,8,10.0,random
CMU_122_122_03_poses_120_jpos,0.25,1.073,0.10501,8,10.0,random
GRAB_s3_waterbottle_pick_all,1.0,7.325,0.06312,8,10.0,random
KIT_675_walk_with_table_left04_poses_100_jpos,1.0,4.152,0.07165,8,10.0,random
