clip,survival_rate,mean_survival_s,mean_body_pos_err,episodes,horizon_s,start,effort_sat_mean,effort_sat_peak,effort_sat_at_end
Eyes_Japan_Dataset_kaiwa_accident-02-dodge_fast-kaiwa_poses_120_jpos,0.25,1.505,0.07854,8,10.0,random,0.00091,0.02155,0.00862
CMU_102_102_29_poses_120_jpos,0.0,1.528,0.14655,8,10.0,random,0.00054,0.01724,0.00862
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,0.0,2.408,0.12989,8,10.0,random,0.00123,0.02586,0.0
BMLmovi_Subject_70_F_MoSh_Subject_70_F_3_poses_120_jpos,0.5,1.002,0.0845,8,10.0,random,0.0007,0.03017,0.02155
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,0.625,7.325,0.0991,8,10.0,random,0.00102,0.01724,0.0
CMU_35_35_24_poses_120_jpos,0.125,0.242,0.29996,8,10.0,random,0.0109,0.03448,0.01724
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,0.375,2.797,0.09575,8,10.0,random,0.00031,0.02155,0.01293
DFaust_67_50025_50025_one_leg_loose_poses_60_jpos,0.125,0.198,0.1699,8,10.0,random,0.00115,0.01293,0.01293
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,0.0,2.692,0.13651,8,10.0,random,0.00078,0.02155,0.00431
CMU_127_127_13_poses_120_jpos,0.375,0.385,0.18728,8,10.0,random,0.01013,0.03879,0.02155
CMU_35_35_20_poses_120_jpos,0.375,0.333,0.21109,8,10.0,random,0.01166,0.03017,0.01293
CMU_18_19_Justin_18_03_poses_120_jpos,0.125,0.965,0.11146,8,10.0,random,0.00072,0.03017,0.03017
CMU_16_16_35_poses_120_jpos,0.5,0.385,0.14321,8,10.0,random,0.01013,0.03879,0.01293
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_a_poses_120_jpos,0.25,1.838,0.14534,8,10.0,random,0.00208,0.03017,0.01293
CMU_20_21_rory1_20_10_poses_120_jpos,0.375,0.593,0.10658,8,10.0,random,0.00166,0.01724,0.00862
Eyes_Japan_Dataset_hamada_jump-09-rope_cross-hamada_poses_120_jpos,0.0,2.333,0.11295,8,10.0,random,0.00129,0.00862,0.00431
DanceDB_20180501_CliodelaVara_CLIO_Dimitroula_1_poses_120_jpos,0.0,2.553,0.12496,8,10.0,random,0.0018,0.03017,0.02155
CMU_138_138_25_poses_120_jpos,1.0,1.472,0.07432,8,10.0,random,0.0015,0.02586,0.00431
ACCAD_Female1General_c3d_A15_-_skip_to_stand_poses_120_jpos,0.375,1.147,0.13299,8,10.0,random,0.00386,0.03017,0.00862
CMU_88_88_10_poses_60_jpos,0.375,1.353,0.10812,8,10.0,random,0.00276,0.03017,0.01724
Eyes_Japan_Dataset_aita_pose-04-drank-aita_poses_120_jpos,0.25,2.69,0.09758,8,10.0,random,0.00138,0.03017,0.02586
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,0.125,1.427,0.14729,8,10.0,random,0.00238,0.01724,0.0
CMU_93_93_08_poses_60_jpos,0.625,3.343,0.08226,8,10.0,random,0.00044,0.01293,0.00862
ACCAD_Male2Walking_c3d_B17_-__Walk_to_hop_to_walk_poses_120_jpos,0.25,1.667,0.09584,8,10.0,random,0.00214,0.03017,0.01293
BMLmovi_Subject_13_F_MoSh_Subject_13_F_3_poses_120_jpos,0.625,2.047,0.0801,8,10.0,random,0.00198,0.02586,0.01724
BMLmovi_Subject_32_F_MoSh_Subject_32_F_7_poses_120_jpos,1.0,1.518,0.06259,8,10.0,random,0.00051,0.01293,0.00862
BMLmovi_Subject_51_F_MoSh_Subject_51_F_17_poses_120_jpos,0.25,2.763,0.1044,8,10.0,random,0.00289,0.03448,0.0
BMLmovi_Subject_27_F_MoSh_Subject_27_F_11_poses_120_jpos,0.25,1.903,0.10019,8,10.0,random,0.00291,0.03879,0.00431
CMU_35_35_18_poses_120_jpos,0.0,0.427,0.18798,8,10.0,random,0.00821,0.03448,0.02155
CMU_35_35_26_poses_120_jpos,0.0,0.205,0.41625,8,10.0,random,0.00565,0.02155,0.00431
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,0.5,0.57,0.10266,8,10.0,random,0.00038,0.00862,0.00862
CMU_108_108_18_poses_120_jpos,0.625,0.455,0.13172,8,10.0,random,0.00655,0.03017,0.02155
Eyes_Japan_Dataset_aita_walk-06-catwalk-aita_poses_120_jpos,0.125,1.598,0.11821,8,10.0,random,0.00224,0.02586,0.00862
BMLmovi_Subject_45_F_MoSh_Subject_45_F_19_poses_120_jpos,0.75,1.157,0.09111,8,10.0,random,0.00029,0.00862,0.00431
Eyes_Japan_Dataset_ichige_soccer-29-heel_lift-ichige_poses_120_jpos,0.125,2.14,0.10322,8,10.0,random,0.00016,0.00862,0.00431
CMU_91_91_04_poses_120_jpos,0.375,2.755,0.11352,8,10.0,random,0.00209,0.03017,0.01724
Eyes_Japan_Dataset_hamada_jump-02-leap-hamada_poses_120_jpos,0.0,1.47,0.10729,8,10.0,random,0.00208,0.02155,0.01293
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,0.0,2.678,0.09797,8,10.0,random,0.0008,0.01724,0.00431
CMU_138_138_10_poses_120_jpos,0.125,0.292,0.18674,8,10.0,random,0.00384,0.03448,0.03017
CMU_106_106_04_poses_60_jpos,0.25,1.643,0.10188,8,10.0,random,0.0042,0.03448,0.00431
DFaust_67_50020_50020_one_leg_loose_poses_60_jpos,0.375,0.14,0.08836,8,10.0,random,0.00022,0.00431,0.00431
Eyes_Japan_Dataset_aita_walk-01-normal-aita_poses_120_jpos,0.5,2.63,0.10952,8,10.0,random,0.00157,0.02155,0.00862
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,0.5,0.708,0.09005,8,10.0,random,0.00121,0.02155,0.01724
BMLmovi_Subject_72_F_MoSh_Subject_72_F_16_poses_120_jpos,0.625,3.248,0.06273,8,10.0,random,0.00019,0.01293,0.00862
ACCAD_s007_QkWalk1_poses_120_jpos,0.375,0.525,0.15684,8,10.0,random,0.00523,0.02586,0.01293
CMU_78_78_31_poses_120_jpos,0.125,0.998,0.13279,8,10.0,random,0.00084,0.00862,0.0
CMU_76_76_03_poses_120_jpos,0.25,1.235,0.1116,8,10.0,random,0.00091,0.03017,0.02586
BMLmovi_Subject_47_F_MoSh_Subject_47_F_8_poses_120_jpos,1.0,3.725,0.04882,8,10.0,random,0.0004,0.03879,0.03448
Eyes_Japan_Dataset_kaiwa_gesture_etc-41-mosh-kaiwa_poses_120_jpos,0.625,4.588,0.07631,8,10.0,random,5e-05,0.00862,0.00431
CMU_108_108_16_poses_120_jpos,0.25,0.635,0.12187,8,10.0,random,0.00429,0.03017,0.01293
SFU_0015_0015_BasicKendo001_poses_120_jpos,0.5,6.915,0.07539,8,10.0,random,0.00053,0.03879,0.00431
DFaust_67_50020_50020_punching_poses_60_jpos,0.625,0.795,0.07166,8,10.0,random,0.00047,0.01724,0.00862
BMLmovi_Subject_85_F_MoSh_Subject_85_F_10_poses_120_jpos,1.0,2.337,0.04931,8,10.0,random,0.0004,0.01293,0.00862
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,0.625,5.692,0.08452,8,10.0,random,0.00069,0.02586,0.00862
Eyes_Japan_Dataset_hamada_accident-06-damage_left_leg-hamada_poses_120_jpos,0.375,4.165,0.09801,8,10.0,random,0.00102,0.0431,0.03448
CMU_139_139_11_poses_60_jpos,0.375,1.157,0.11773,8,10.0,random,0.00336,0.02586,0.00431
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,0.25,1.508,0.09924,8,10.0,random,0.0,0.0,0.0
KIT_379_push_recovery_left05_poses_100_jpos,0.875,3.243,0.07194,8,10.0,random,0.001,0.03017,0.01293
CMU_122_122_55_poses_120_jpos,0.875,2.78,0.06788,8,10.0,random,0.00011,0.02155,0.02155
CMU_144_144_04_poses_120_jpos,0.0,2.998,0.11268,8,10.0,random,0.00126,0.03879,0.01724
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,0.0,4.67,0.09342,8,10.0,random,0.00091,0.03879,0.03448
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,0.375,2.323,0.09032,8,10.0,random,0.00217,0.03017,0.01724
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,1.0,2.775,0.06057,8,10.0,random,0.0002,0.00431,0.0
BMLhandball_S07_Expert_Trial_upper_right_180_poses_120_jpos,0.625,3.607,0.07996,8,10.0,random,0.00165,0.03017,0.00431
CMU_122_122_15_poses_120_jpos,0.75,1.298,0.06171,8,10.0,random,0.00025,0.01724,0.01724
KIT_513_kick07_poses_100_jpos,0.75,1.005,0.05505,8,10.0,random,0.0001,0.00862,0.00862
GRAB_s3_eyeglasses_clean_1,1.0,6.433,0.06006,8,10.0,random,0.00023,0.02155,0.00862
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,0.0,0.425,0.17167,8,10.0,random,0.00482,0.03879,0.00862
KIT_425_bend_left06_poses_100_jpos,1.0,2.188,0.08119,8,10.0,random,0.00136,0.03017,0.01293
KIT_424_walking_fast08_poses_100_jpos,0.875,2.277,0.06282,8,10.0,random,0.00071,0.03017,0.00862
GRAB_s7_stapler_staple_1,0.875,4.808,0.06068,8,10.0,random,0.00018,0.02586,0.02155
CMU_122_122_03_poses_120_jpos,0.375,1.103,0.09908,8,10.0,random,0.00025,0.00862,0.00431
GRAB_s3_waterbottle_pick_all,0.75,6.28,0.06892,8,10.0,random,0.00031,0.02586,0.02586
KIT_675_walk_with_table_left04_poses_100_jpos,0.75,3.973,0.08361,8,10.0,random,0.00092,0.03879,0.00431
KIT_3_seesaw07_poses_100_jpos,1.0,2.873,0.06206,8,10.0,random,0.00038,0.02155,0.00431
CMU_137_137_36_poses_120_jpos,0.5,5.992,0.09076,8,10.0,random,0.00033,0.03017,0.02155
KIT_8_RightTurn03_poses_100_jpos,1.0,1.785,0.05143,8,10.0,random,0.00038,0.01293,0.00431
KIT_424_seesaw04_poses_100_jpos,0.875,1.978,0.06555,8,10.0,random,0.00012,0.01724,0.00862
KIT_3_walking_medium08_poses_100_jpos,1.0,3.09,0.05992,8,10.0,random,0.00024,0.02155,0.00862
KIT_421_push_recovery_stand_left03_poses_100_jpos,1.0,5.147,0.05235,8,10.0,random,4e-05,0.01293,0.00862
GRAB_s6_mouse_pick_all,0.875,7.228,0.05623,8,10.0,random,0.00011,0.02586,0.02155
KIT_8_WalkingStraightForwards09_poses_100_jpos,1.0,4.35,0.06287,8,10.0,random,0.00032,0.03017,0.02155
CMU_106_106_13_poses_60_jpos,0.625,1.43,0.06424,8,10.0,random,0.0005,0.01293,0.01293
GRAB_s4_apple_pick_all,1.0,7.163,0.06903,8,10.0,random,0.00019,0.03017,0.01293
GRAB_s6_spherelarge_pick_all,0.875,6.08,0.05753,8,10.0,random,4e-05,0.00862,0.00431
KIT_572_throw_left04_poses_100_jpos,0.75,1.36,0.06282,8,10.0,random,0.00012,0.01293,0.01293
GRAB_s5_spherelarge_pick_all,1.0,6.513,0.05937,8,10.0,random,0.0001,0.02155,0.01724
GRAB_s8_toruslarge_inspect_1,0.875,5.452,0.05537,8,10.0,random,5e-05,0.01724,0.01724
GRAB_s9_stapler_pass_1,1.0,2.238,0.05695,8,10.0,random,0.00071,0.01724,0.01724
GRAB_s1_toothpaste_pick_all,1.0,7.61,0.06,8,10.0,random,0.0001,0.01293,0.0
KIT_3_wave_left01_poses_100_jpos,0.375,1.04,0.05695,8,10.0,random,0.00021,0.00431,0.00431
Eyes_Japan_Dataset_kanno_pose-19-funny-kanno_poses_120_jpos,0.625,6.157,0.07552,8,10.0,random,0.00013,0.01724,0.01293
Eyes_Japan_Dataset_kanno_gesture_etc-50-syuriken-kanno_poses_120_jpos,1.0,9.553,0.05293,8,10.0,random,5e-05,0.01724,0.00862
KIT_950_Wipe_Back_Small_Circle_01_poses_100_jpos,0.0,0.463,0.11202,8,10.0,random,0.00077,0.01724,0.01724
KIT_1487_stirring_in_the_bowl07_poses_100_jpos,1.0,4.495,0.04142,8,10.0,random,0.00028,0.01724,0.00862
KIT_1717_displace_from_left_to_right_14_poses_100_jpos,1.0,2.205,0.04025,8,10.0,random,2e-05,0.00431,0.0
KIT_969_Trial_30_poses_100_jpos,1.0,6.492,0.06057,8,10.0,random,3e-05,0.00431,0.0
KIT_572_wipe_circular_left07_poses_100_jpos,1.0,3.053,0.04092,8,10.0,random,0.00017,0.00862,0.00862
KIT_1229_hand_through_hair_right_arm_02_poses_100_jpos,1.0,2.192,0.04112,8,10.0,random,0.00027,0.03017,0.02586
KIT_291_shake_hand05_poses_100_jpos,1.0,2.805,0.04674,8,10.0,random,3e-05,0.00431,0.00431
