clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.02802,0.04741,0.04741
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_poses_120_jpos,mean,0.75,,56,3.0,0.01343,,
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,0.0,0.75,2.305,8,3.0,0.00132,0.01724,0.00862
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,1.0,1.0,3.0,8,3.0,6e-05,0.00862,0.0
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,2.0,0.875,2.645,8,3.0,0.00165,0.01293,0.00862
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,3.0,0.75,2.29,8,3.0,0.0017,0.02586,0.00862
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,4.0,0.875,2.653,8,3.0,0.00126,0.02155,0.00862
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,6.0,1.0,2.28,8,2.28,0.00068,0.06034,0.06034
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,8.0,1.0,0.28,8,0.28,0.00677,0.0819,0.0819
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,mean,0.8929,,56,3.0,0.00192,,
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,0.0,0.0,2.45,8,3.0,0.01688,0.11207,0.02586
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,1.0,0.0,1.425,8,3.0,0.0352,0.13362,0.0431
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,2.0,0.0,0.608,8,2.74,0.0047,0.05172,0.03448
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,3.0,0.0,0.658,8,1.74,0.01371,0.12931,0.07759
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,4.0,1.0,0.74,8,0.74,0.0021,0.05172,0.03879
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.01724,0.03017,0.00862
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.01724,0.03017,0.00862
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,mean,0.4286,,56,3.0,0.0153,,
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,0.0,0.0,0.255,8,3.0,0.00525,0.05603,0.05172
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,1.0,0.0,0.27,8,3.0,0.00391,0.04741,0.0431
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,2.0,0.125,1.085,8,3.0,0.00892,0.06034,0.0431
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,3.0,1.0,2.74,8,2.74,0.00783,0.12069,0.04741
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,4.0,1.0,1.74,8,1.74,0.00718,0.12931,0.06466
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.05819,0.08621,0.03448
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.04095,0.07759,0.01293
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,mean,0.5893,,56,3.0,0.01889,,
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,0.0,0.75,2.287,8,3.0,0.01727,0.09052,0.00862
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,1.0,0.875,1.86,8,2.1,0.0105,0.07759,0.00862
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,2.0,0.5,0.645,8,1.12,0.02051,0.0819,0.02155
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,3.0,1.0,0.12,8,0.12,0.04239,0.09483,0.04741
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,4.0,1.0,0.04,8,0.04,0.06681,0.09483,0.0431
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.06466,0.10345,0.03017
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.06466,0.09483,0.03448
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,mean,0.875,,56,3.0,0.04097,,
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,0.0,0.0,2.367,8,3.0,0.00033,0.03448,0.03448
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,1.0,0.0,1.48,8,3.0,0.00107,0.05603,0.0431
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,2.0,0.0,0.295,8,3.0,0.00455,0.05172,0.05172
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,3.0,0.0,0.438,8,3.0,0.00148,0.03448,0.03448
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,4.0,0.0,0.295,8,3.0,0.00485,0.04741,0.03448
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,6.0,1.0,1.0,8,1.0,0.00147,0.07328,0.07328
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.02371,0.04741,0.0431
BMLmovi_Subject_18_F_MoSh_Subject_18_F_20_poses_120_jpos,mean,0.2857,,56,3.0,0.00535,,
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,0.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,1.0,0.75,2.995,8,3.0,0.00014,0.01724,0.00862
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,2.0,0.0,2.18,8,3.0,0.00052,0.05172,0.04741
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,3.0,0.0,0.685,8,3.0,0.00078,0.02155,0.02155
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,4.0,0.0,0.392,8,3.0,0.00204,0.03879,0.03879
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,6.0,1.0,2.0,8,2.0,0.00078,0.06034,0.05603
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.0194,0.03879,0.03017
BMLmovi_Subject_20_F_MoSh_Subject_20_F_4_poses_120_jpos,mean,0.5357,,56,3.0,0.00338,,
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,0.0,0.0,2.815,8,3.0,0.00019,0.02586,0.02586
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,1.0,0.0,1.788,8,3.0,0.00055,0.03879,0.03448
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,2.0,0.0,0.93,8,3.0,0.00072,0.03448,0.03448
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,3.0,0.0,0.297,8,3.0,0.00299,0.03448,0.03448
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,4.0,0.0,0.395,8,3.0,0.0018,0.03448,0.03448
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,6.0,0.875,1.845,8,1.94,0.00068,0.04741,0.04741
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.02586,0.05172,0.05172
BMLmovi_Subject_36_F_MoSh_Subject_36_F_16_poses_120_jpos,mean,0.2679,,56,3.0,0.00468,,
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,0.0,0.25,2.815,8,3.0,0.0003,0.03448,0.02586
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,1.0,0.0,1.81,8,3.0,0.00068,0.06034,0.05603
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,2.0,0.0,0.798,8,3.0,0.00125,0.04741,0.04741
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,3.0,0.0,0.552,8,3.0,0.00175,0.03017,0.02586
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,4.0,0.0,0.475,8,3.0,0.00407,0.06034,0.05172
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,6.0,1.0,1.7,8,1.7,0.00056,0.04741,0.04741
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.02802,0.05603,0.05603
BMLmovi_Subject_53_F_MoSh_Subject_53_F_12_poses_120_jpos,mean,0.3214,,56,3.0,0.00523,,
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,0.0,0.0,1.327,8,3.0,0.00072,0.04741,0.04741
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,1.0,0.0,0.515,8,3.0,0.00178,0.04741,0.04741
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,2.0,0.0,0.333,8,3.0,0.00262,0.03879,0.03017
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,3.0,0.0,0.4,8,3.0,0.00299,0.06034,0.06034
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,4.0,0.0,0.543,8,3.0,0.00227,0.06034,0.05603
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,6.0,0.0,0.472,8,2.9,0.00128,0.03017,0.02586
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,8.0,1.0,0.9,8,0.9,0.00048,0.02155,0.02155
BMLmovi_Subject_71_F_MoSh_Subject_71_F_17_poses_120_jpos,mean,0.1429,,56,3.0,0.00173,,
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,0.0,0.0,2.362,8,3.0,0.00067,0.04741,0.0431
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,1.0,0.0,1.607,8,3.0,0.003,0.05603,0.0431
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,2.0,0.375,1.905,8,3.0,0.00127,0.04741,0.02586
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,3.0,0.0,0.66,8,2.24,0.00335,0.04741,0.03879
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,4.0,1.0,1.24,8,1.24,0.00132,0.0819,0.0819
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,6.0,1.0,0.04,8,0.04,0.00862,0.01724,0.01724
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,8.0,1.0,0.04,8,0.04,0.02802,0.05603,0.05603
BMLmovi_Subject_88_F_MoSh_Subject_88_F_1_poses_120_jpos,mean,0.4821,,56,3.0,0.00661,,
CMU_114_114_16_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_114_114_16_poses_120_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_114_114_16_poses_120_jpos,2.0,0.875,2.975,8,3.0,0.00049,0.02586,0.00431
CMU_114_114_16_poses_120_jpos,3.0,0.0,2.322,8,3.0,0.0025,0.04741,0.02586
CMU_114_114_16_poses_120_jpos,4.0,0.0,1.54,8,3.0,0.00433,0.05172,0.03879
CMU_114_114_16_poses_120_jpos,6.0,0.0,0.55,8,3.0,0.02697,0.06034,0.03017
CMU_114_114_16_poses_120_jpos,8.0,0.0,1.46,8,3.0,0.02084,0.10345,0.05172
CMU_114_114_16_poses_120_jpos,mean,0.4107,,56,3.0,0.00788,,
CMU_133_133_01_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
CMU_133_133_01_poses_120_jpos,1.0,1.0,3.0,8,3.0,3e-05,0.00431,0.00431
CMU_133_133_01_poses_120_jpos,2.0,0.0,2.827,8,3.0,0.00335,0.09914,0.0431
CMU_133_133_01_poses_120_jpos,3.0,0.0,1.945,8,3.0,0.00358,0.06897,0.0431
CMU_133_133_01_poses_120_jpos,4.0,0.0,0.59,8,3.0,0.01338,0.07759,0.05172
CMU_133_133_01_poses_120_jpos,6.0,0.0,0.543,8,3.0,0.03358,0.07759,0.05172
CMU_133_133_01_poses_120_jpos,8.0,0.0,0.412,8,3.0,0.00459,0.05603,0.05172
CMU_133_133_01_poses_120_jpos,mean,0.2857,,56,3.0,0.00836,,
CMU_133_133_02_poses_120_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
