clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
KIT_572_squat05_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_572_squat05_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_572_squat05_poses_100_jpos,2.0,1.0,2.92,8,2.92,0.0,0.0,0.0
KIT_572_squat05_poses_100_jpos,3.0,1.0,1.94,8,1.94,0.00018,0.01724,0.01724
KIT_572_squat05_poses_100_jpos,4.0,1.0,0.94,8,0.94,0.00092,0.0431,0.0431
KIT_572_squat05_poses_100_jpos,6.0,1.0,0.04,8,0.04,0.01078,0.02155,0.02155
KIT_572_squat05_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
KIT_572_squat05_poses_100_jpos,mean,1.0,,56,3.0,0.00201,,
KIT_200_Kniebeuge06_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge06_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge06_poses_100_jpos,2.0,1.0,2.38,8,2.38,0.0,0.0,0.0
KIT_200_Kniebeuge06_poses_100_jpos,3.0,1.0,1.4,8,1.4,0.00031,0.02155,0.02155
KIT_200_Kniebeuge06_poses_100_jpos,4.0,1.0,0.38,8,0.38,0.0,0.0,0.0
KIT_200_Kniebeuge06_poses_100_jpos,6.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
KIT_200_Kniebeuge06_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
KIT_200_Kniebeuge06_poses_100_jpos,mean,1.0,,56,3.0,0.00097,,
KIT_3_seesaw_backwards07_poses_100_jpos,0.0,0.0,2.755,8,3.0,9e-05,0.01293,0.01293
KIT_3_seesaw_backwards07_poses_100_jpos,1.0,0.0,1.753,8,3.0,5e-05,0.00431,0.00431
KIT_3_seesaw_backwards07_poses_100_jpos,2.0,0.0,0.757,8,3.0,0.00034,0.01293,0.01293
KIT_3_seesaw_backwards07_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_seesaw_backwards07_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_seesaw_backwards07_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
