clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
KIT_424_seesaw_backwards03_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw_backwards03_poses_100_jpos,6.0,1.0,2.76,8,2.76,0.00016,0.02155,0.02155
KIT_424_seesaw_backwards03_poses_100_jpos,8.0,1.0,0.76,8,0.76,0.00091,0.03448,0.03448
KIT_424_seesaw_backwards03_poses_100_jpos,mean,1.0,,56,3.0,0.00015,,
KIT_3_go_over_beam01_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,8.0,1.0,2.34,8,2.34,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,mean,1.0,,56,3.0,0.0,,
KIT_424_seesaw09_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw09_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw09_poses_100_jpos,2.0,1.0,3.0,8,3.0,9e-05,0.00431,0.0
KIT_424_seesaw09_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0002,0.03017,0.03017
KIT_424_seesaw09_poses_100_jpos,4.0,1.0,2.0,8,2.0,0.00043,0.0431,0.0431
KIT_424_seesaw09_poses_100_jpos,6.0,1.0,0.04,8,0.04,0.0,0.0,0.0
KIT_424_seesaw09_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.0,0.0,0.0
KIT_424_seesaw09_poses_100_jpos,mean,1.0,,56,3.0,0.0001,,
KIT_200_Kniebeuge01_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge01_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge01_poses_100_jpos,2.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
KIT_200_Kniebeuge01_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge01_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge01_poses_100_jpos,6.0,1.0,1.48,8,1.48,0.00023,0.01724,0.01724
KIT_200_Kniebeuge01_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.00647,0.01293,0.01293
KIT_200_Kniebeuge01_poses_100_jpos,mean,1.0,,56,3.0,0.00096,,
KIT_359_go_over_beam03_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
