clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
KIT_424_seesaw_backwards03_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw_backwards03_poses_100_jpos,6.0,1.0,2.76,8,2.76,0.00022,0.03017,0.03017
KIT_424_seesaw_backwards03_poses_100_jpos,8.0,1.0,0.76,8,0.76,0.00023,0.00862,0.00862
KIT_424_seesaw_backwards03_poses_100_jpos,mean,1.0,,56,3.0,6e-05,,
KIT_3_go_over_beam01_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,8.0,1.0,2.34,8,2.34,0.0,0.0,0.0
KIT_3_go_over_beam01_poses_100_jpos,mean,1.0,,56,3.0,0.0,,
KIT_424_seesaw09_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_424_seesaw09_poses_100_jpos,1.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
KIT_424_seesaw09_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.00026,0.01293,0.0
KIT_424_seesaw09_poses_100_jpos,3.0,1.0,3.0,8,3.0,9e-05,0.01293,0.01293
KIT_424_seesaw09_poses_100_jpos,4.0,1.0,2.0,8,2.0,4e-05,0.00431,0.0
KIT_424_seesaw09_poses_100_jpos,6.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
KIT_424_seesaw09_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.01078,0.02155,0.02155
KIT_424_seesaw09_poses_100_jpos,mean,1.0,,56,3.0,0.00191,,
KIT_200_Kniebeuge01_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge01_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge01_poses_100_jpos,2.0,0.875,2.99,8,3.0,0.00017,0.00862,0.0
KIT_200_Kniebeuge01_poses_100_jpos,3.0,0.625,2.618,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge01_poses_100_jpos,4.0,0.875,2.75,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge01_poses_100_jpos,6.0,1.0,1.48,8,1.48,0.00035,0.02586,0.02586
KIT_200_Kniebeuge01_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.0,0.0,0.0
KIT_200_Kniebeuge01_poses_100_jpos,mean,0.9107,,56,3.0,7e-05,,
KIT_359_go_over_beam03_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam03_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam03_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam03_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam03_poses_100_jpos,4.0,1.0,3.0,8,3.0,3e-05,0.00431,0.00431
KIT_359_go_over_beam03_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam03_poses_100_jpos,8.0,1.0,1.5,8,1.5,0.0004,0.03017,0.03017
KIT_359_go_over_beam03_poses_100_jpos,mean,1.0,,56,3.0,6e-05,,
KIT_314_go_over_beam01_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_314_go_over_beam01_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_314_go_over_beam01_poses_100_jpos,2.0,1.0,3.0,8,3.0,9e-05,0.00431,0.0
KIT_314_go_over_beam01_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_314_go_over_beam01_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_314_go_over_beam01_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_314_go_over_beam01_poses_100_jpos,8.0,1.0,2.86,8,2.86,3e-05,0.00431,0.00431
KIT_314_go_over_beam01_poses_100_jpos,mean,1.0,,56,3.0,2e-05,,
KIT_359_go_over_beam02_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam02_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0002,0.00862,0.0
KIT_359_go_over_beam02_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam02_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam02_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_359_go_over_beam02_poses_100_jpos,6.0,1.0,2.56,8,2.56,0.00017,0.02155,0.02155
KIT_359_go_over_beam02_poses_100_jpos,8.0,1.0,0.56,8,0.56,0.00139,0.03879,0.03879
KIT_359_go_over_beam02_poses_100_jpos,mean,1.0,,56,3.0,0.00025,,
KIT_513_seesaw_up03_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up03_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up03_poses_100_jpos,2.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up03_poses_100_jpos,3.0,1.0,3.0,8,3.0,3e-05,0.00431,0.0
KIT_513_seesaw_up03_poses_100_jpos,4.0,1.0,3.0,8,3.0,9e-05,0.00431,0.0
KIT_513_seesaw_up03_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_513_seesaw_up03_poses_100_jpos,8.0,1.0,1.04,8,1.04,0.00025,0.01293,0.01293
KIT_513_seesaw_up03_poses_100_jpos,mean,1.0,,56,3.0,5e-05,,
