clip,offset_s,survival,mean_survival_s,n,window_s,effort_sat_mean,effort_sat_peak,effort_sat_at_end
KIT_572_squat05_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_572_squat05_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_572_squat05_poses_100_jpos,2.0,1.0,2.92,8,2.92,0.0,0.0,0.0
KIT_572_squat05_poses_100_jpos,3.0,1.0,1.94,8,1.94,0.00044,0.03448,0.03448
KIT_572_squat05_poses_100_jpos,4.0,1.0,0.94,8,0.94,0.00073,0.03448,0.03448
KIT_572_squat05_poses_100_jpos,6.0,1.0,0.04,8,0.04,0.01078,0.02155,0.02155
KIT_572_squat05_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.01293,0.02586,0.02586
KIT_572_squat05_poses_100_jpos,mean,1.0,,56,3.0,0.00355,,
KIT_200_Kniebeuge06_poses_100_jpos,0.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge06_poses_100_jpos,1.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_200_Kniebeuge06_poses_100_jpos,2.0,1.0,2.38,8,2.38,0.00022,0.02586,0.0
KIT_200_Kniebeuge06_poses_100_jpos,3.0,1.0,1.4,8,1.4,0.0008,0.05603,0.05603
KIT_200_Kniebeuge06_poses_100_jpos,4.0,1.0,0.38,8,0.38,0.0,0.0,0.0
KIT_200_Kniebeuge06_poses_100_jpos,6.0,1.0,0.04,8,0.04,0.00216,0.00431,0.00431
KIT_200_Kniebeuge06_poses_100_jpos,8.0,1.0,0.04,8,0.04,0.00431,0.00862,0.00862
KIT_200_Kniebeuge06_poses_100_jpos,mean,1.0,,56,3.0,0.00107,,
KIT_3_seesaw_backwards07_poses_100_jpos,0.0,0.0,2.76,8,3.0,9e-05,0.01293,0.01293
KIT_3_seesaw_backwards07_poses_100_jpos,1.0,0.0,1.76,8,3.0,0.00015,0.01293,0.01293
KIT_3_seesaw_backwards07_poses_100_jpos,2.0,0.0,0.76,8,3.0,0.00034,0.01293,0.01293
KIT_3_seesaw_backwards07_poses_100_jpos,3.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_seesaw_backwards07_poses_100_jpos,4.0,1.0,3.0,8,3.0,0.0,0.0,0.0
KIT_3_seesaw_backwards07_poses_100_jpos,6.0,1.0,3.0,8,3.0,0.0,0.0,0.0
