clip,condition_id,full_window,horizon_steps,phase,replicate,start_frame,world_id,actual_window_s,success,survival_s,termination_causes,effort_sat_mean,effort_sat_peak,effort_sat_terminal,absolute_mechanical_work_per_actuator_j,action_delta_mean_per_step,joint_limit_exposure,foot_contact_fraction,contacting_ankle_link_speed_mean_mps,foot_penetration_mean_m,foot_contact_switch_rate_hz,body_acceleration_error_mean_mps2,body_jerk_error_mean_mps3,error_anchor_pos_mean,error_anchor_pos_terminal,error_anchor_rot_mean,error_anchor_rot_terminal,error_anchor_lin_vel_mean,error_anchor_lin_vel_terminal,error_anchor_ang_vel_mean,error_anchor_ang_vel_terminal,error_body_pos_mean,error_body_pos_terminal,error_body_rot_mean,error_body_rot_terminal,error_body_lin_vel_mean,error_body_lin_vel_terminal,error_body_ang_vel_mean,error_body_ang_vel_terminal,error_joint_pos_mean,error_joint_pos_terminal,error_joint_vel_mean,error_joint_vel_terminal,common_anchor_position_error_m_mean,common_anchor_orientation_error_rad_mean,common_root_relative_mpkpe_m_mean,common_body_orientation_error_rad_mean,common_root_relative_velocity_error_mps_mean,common_joint_position_error_rad_mean,common_joint_velocity_error_rps_mean,active_to_common_root_relative_mpkpe_m_mean,active_to_common_body_orientation_error_rad_mean,active_to_common_root_relative_velocity_error_mps_mean,common_body_acceleration_error_mps2_mean,common_body_jerk_error_mps3_mean
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@0:r0,True,150,0.0,0,0,0,3.0,1,3.0,,0.0,0.0,0.0,10.033766746520996,0.0794835239648819,0.0,0.9733333587646484,0.08579602837562561,0.0012037392007187009,0.6711409091949463,3.9327921867370605,183.72933959960938,0.14354535937309265,0.1714828908443451,0.1847514659166336,0.14254632592201233,0.20638848841190338,0.43578922748565674,0.5476205945014954,0.8518316149711609,0.11178122460842133,0.11885478347539902,0.454395592212677,0.3948425054550171,0.25916633009910583,0.49256959557533264,1.1003305912017822,1.4656001329421997,1.6612389087677002,1.9179630279541016,3.969348192214966,5.447743892669678,0.14477428793907166,0.18407490849494934,0.09884405136108398,0.45945826172828674,0.21401157975196838,0.2140064537525177,0.5468186736106873,0.0,0.0,0.0,3.9327921867370605,183.72933959960938
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@0:r1,True,150,0.0,1,0,1,3.0,1,3.0,,0.0,0.0,0.0,9.703659057617188,0.09239441901445389,0.0,0.9633333086967468,0.10558664053678513,0.0012249061837792397,1.3422818183898926,4.655166149139404,218.91665649414062,0.19307482242584229,0.19321031868457794,0.14824271202087402,0.1615661233663559,0.23065459728240967,0.41701969504356384,0.5805876851081848,0.7831154465675354,0.11487071961164474,0.12584036588668823,0.46613967418670654,0.424631804227829,0.2817769944667816,0.4442933201789856,1.2572354078292847,1.3222105503082275,1.6575171947479248,1.9713191986083984,4.677814960479736,4.808935165405273,0.19422027468681335,0.1457740217447281,0.10056041926145554,0.4662061929702759,0.22333195805549622,0.21674080193042755,0.6418538093566895,0.0,0.0,0.0,4.655166149139404,218.91665649414062
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@0:r2,True,150,0.0,2,0,2,3.0,1,3.0,,0.0,0.0,0.0,10.860954284667969,0.11287727952003479,0.0,0.9733333587646484,0.11582766473293304,0.0016021790215745568,1.0067113637924194,5.942628860473633,263.68365478515625,0.15981613099575043,0.2535562813282013,0.18347236514091492,0.13681112229824066,0.22683390974998474,0.607495903968811,0.6825064420700073,2.3428564071655273,0.0999939814209938,0.09671159088611603,0.4098224341869354,0.3514990508556366,0.2837723195552826,0.5088279843330383,1.3721389770507812,2.7151739597320557,1.6106915473937988,1.776636004447937,5.342113494873047,10.787764549255371,0.1610071212053299,0.18249741196632385,0.08642580360174179,0.4115530252456665,0.23569701611995697,0.20622238516807556,0.7233534455299377,0.0,0.0,0.0,5.942628860473633,263.68365478515625
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@0:r3,True,150,0.0,3,0,3,3.0,1,3.0,,0.0,0.0,0.0,10.799185752868652,0.09271243214607239,0.00022988505952525884,0.9733333587646484,0.109335757791996,0.0010456558084115386,0.6711409091949463,4.814552307128906,216.19967651367188,0.1486779898405075,0.17817650735378265,0.18927527964115143,0.13153836131095886,0.2192062884569168,0.5900026559829712,0.5718938112258911,0.4608396589756012,0.1102997213602066,0.11622437834739685,0.4457998275756836,0.3964466452598572,0.2754294276237488,0.5757209658622742,1.263500452041626,1.8327131271362305,1.6487979888916016,1.8775540590286255,4.603443145751953,6.7511305809021,0.14986835420131683,0.18803377449512482,0.09735134243965149,0.44836345314979553,0.23264586925506592,0.2131723314523697,0.6289616823196411,0.0,0.0,0.0,4.814552307128906,216.19967651367188
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@44:r0,True,150,0.1685823754789272,0,44,4,3.0,1,3.0,,0.0,0.0,0.0,14.87922191619873,0.14053790271282196,0.0020689654629677534,0.9333333373069763,0.17884790897369385,0.002708030166104436,2.3489933013916016,7.399477958679199,333.3888244628906,0.21362388134002686,0.20999519526958466,0.18612739443778992,0.36383169889450073,0.3891488015651703,1.12517249584198,0.8291555047035217,1.524091362953186,0.11770950257778168,0.18967996537685394,0.4644191563129425,0.8882942199707031,0.46086788177490234,1.3677160739898682,1.915469765663147,3.5899338722229004,1.795599102973938,2.33899188041687,7.130613803863525,16.111557006835938,0.21377064287662506,0.1864982545375824,0.10985586792230606,0.4941883385181427,0.31960833072662354,0.238273486495018,0.9612067937850952,0.0,0.0,0.0,7.399477958679199,333.3888244628906
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@44:r1,True,150,0.1685823754789272,1,44,5,3.0,1,3.0,,0.0,0.0,0.0,12.752676963806152,0.11111370474100113,0.00022988505952525884,0.9599999785423279,0.12885089218616486,0.0016504068626090884,1.3422818183898926,6.060437202453613,263.02728271484375,0.14909151196479797,0.11739519983530045,0.197770357131958,0.3042531907558441,0.28647691011428833,0.36761239171028137,0.759665310382843,0.9563718438148499,0.10753118246793747,0.13978959619998932,0.43540528416633606,0.6639083027839661,0.3690524101257324,0.5923654437065125,1.6429250240325928,2.231698751449585,1.7609869241714478,1.9894399642944336,5.960288047790527,10.329266548156738,0.14941610395908356,0.19817978143692017,0.09996408224105835,0.46115171909332275,0.28005439043045044,0.23337069153785706,0.8166659474372864,0.0,0.0,0.0,6.060437202453613,263.02728271484375
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@44:r2,True,150,0.1685823754789272,2,44,6,3.0,0,2.94,anchor_pos,0.00046915316488593817,0.03448275849223137,0.0,16.316009521484375,0.14447979629039764,0.0011728829704225063,0.9251700639724731,0.21006909012794495,0.0024561407044529915,3.0821919441223145,7.794753074645996,347.3709411621094,0.24576684832572937,0.38470393419265747,0.173857182264328,0.24284197390079498,0.4937005043029785,2.1825220584869385,0.883233904838562,1.5225836038589478,0.12234880775213242,0.3184276521205902,0.47843295335769653,1.0523124933242798,0.5324234366416931,1.853735089302063,2.0451951026916504,3.4157166481018066,1.7965683937072754,2.590594530105591,7.424320697784424,7.364963531494141,0.24577873945236206,0.1747325211763382,0.11170823127031326,0.5107411742210388,0.34891554713249207,0.23858106136322021,0.9919174909591675,0.0,0.0,0.0,7.794753074645996,347.3709411621094
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@44:r3,True,150,0.1685823754789272,3,44,7,3.0,0,2.84,anchor_pos,0.00024283632228616625,0.03448275849223137,0.0,11.814703941345215,0.11104556918144226,0.00024283632228616625,0.922535240650177,0.15832285583019257,0.002556696068495512,1.7730497121810913,5.913799285888672,261.76934814453125,0.21289989352226257,0.4018392264842987,0.1816936880350113,0.2783052325248718,0.45921143889427185,2.1823089122772217,0.7415637969970703,2.303436279296875,0.12161422520875931,0.3130221962928772,0.4701612889766693,0.9916833639144897,0.48657527565956116,1.7353405952453613,1.8100543022155762,3.9394631385803223,1.795215368270874,2.3688995838165283,6.291717529296875,7.685826301574707,0.21314191818237305,0.1821061372756958,0.11211312562227249,0.5062724351882935,0.3184076249599457,0.23825542628765106,0.8239472508430481,0.0,0.0,0.0,5.913799285888672,261.76934814453125
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@87:r0,True,150,0.3333333333333333,0,87,8,3.0,1,3.0,,0.0006896551349200308,0.03448275849223137,0.0,25.231767654418945,0.15434905886650085,0.009195401333272457,0.8700000047683716,0.23944135010242462,0.0032100011594593525,3.859060287475586,8.666942596435547,375.1048889160156,0.15986090898513794,0.6122304201126099,0.28304803371429443,0.7377322316169739,0.3869626820087433,0.8302401304244995,1.2840787172317505,0.6801379919052124,0.12202189117670059,0.2392776757478714,0.5612306594848633,0.8570409417152405,0.5682947635650635,1.041947841644287,2.722130060195923,5.098515510559082,1.9786491394042969,2.0111677646636963,9.259239196777344,15.995346069335938,0.16101692616939545,0.28591620922088623,0.10839926451444626,0.5622626543045044,0.4554855227470398,0.26527056097984314,1.2589929103851318,0.0,0.0,0.0,8.666942596435547,375.1048889160156
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@87:r1,True,150,0.3333333333333333,1,87,9,3.0,0,2.82,anchor_pos,0.0,0.0,0.0,22.44023323059082,0.14985579252243042,0.005380288697779179,0.9007092118263245,0.2541196644306183,0.0035567728336900473,3.0357143878936768,8.432304382324219,366.94232177734375,0.1470436304807663,0.6892958879470825,0.25646355748176575,0.8404931426048279,0.39701151847839355,1.487902045249939,1.1739246845245361,2.801863431930542,0.11614802479743958,0.31440579891204834,0.5641071200370789,1.15390944480896,0.5312947630882263,1.5803983211517334,2.653717279434204,6.636937141418457,1.9419653415679932,2.463141441345215,9.471226692199707,19.588613510131836,0.14796866476535797,0.25992366671562195,0.09967168420553207,0.5581533312797546,0.4388253092765808,0.2620421051979065,1.2620861530303955,0.0,0.0,0.0,8.432304382324219,366.94232177734375
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@87:r2,True,150,0.3333333333333333,2,87,10,3.0,1,3.0,,0.0004597701190505177,0.03448275849223137,0.0,27.042022705078125,0.17543932795524597,0.007356320042163134,0.8799999952316284,0.23274663090705872,0.003284952836111188,3.859060287475586,9.836469650268555,415.2940368652344,0.1570560783147812,0.5281424522399902,0.2589699923992157,0.6507924795150757,0.3726351261138916,0.4977300465106964,1.2840057611465454,1.0288602113723755,0.11425365507602692,0.1902715414762497,0.5545244216918945,0.7189472913742065,0.5634767413139343,0.6900033354759216,2.9275593757629395,4.293020725250244,1.9577538967132568,2.0929739475250244,10.0023775100708,12.971108436584473,0.15736158192157745,0.26186543703079224,0.10083307325839996,0.552895724773407,0.46212682127952576,0.2627493143081665,1.3465124368667603,0.0,0.0,0.0,9.836469650268555,415.2940368652344
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@87:r3,True,150,0.3333333333333333,3,87,11,3.0,1,3.0,,0.0013793103862553835,0.03448275849223137,0.0,26.76205825805664,0.18523484468460083,0.001149425283074379,0.8733333349227905,0.3250940144062042,0.0029051313176751137,3.1879193782806396,10.060125350952148,433.418212890625,0.31145331263542175,0.6999232172966003,0.22338010370731354,0.468779057264328,0.4462488293647766,1.0467830896377563,1.3544784784317017,2.181358575820923,0.10963954776525497,0.15855847299098969,0.5739817023277283,0.6368743777275085,0.636481523513794,1.0106886625289917,3.1132240295410156,3.8785173892974854,1.9789797067642212,2.228165626525879,11.115888595581055,13.336006164550781,0.3113383948802948,0.2266467809677124,0.09735371917486191,0.5739074945449829,0.48666778206825256,0.2699835002422333,1.452737808227539,0.0,0.0,0.0,10.060125350952148,433.418212890625
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@130:r0,True,150,0.49808429118773945,0,130,12,3.0,0,2.5,anchor_pos,0.0016551724402233958,0.03448275849223137,0.0,25.109516143798828,0.18654347956180573,0.014620685018599033,0.8240000009536743,0.3168324828147888,0.0028561691287904978,3.6290321350097656,10.67535400390625,417.0515441894531,0.2917369604110718,0.7865806818008423,0.37010055780410767,0.9964655041694641,0.5063698291778564,1.5681794881820679,1.5572925806045532,2.8044044971466064,0.13258852064609528,0.30576619505882263,0.6685904264450073,1.1381722688674927,0.6999158263206482,1.6633045673370361,3.444164514541626,6.340457439422607,2.0120089054107666,2.085259199142456,11.508746147155762,19.48780059814453,0.29377540946006775,0.3746963441371918,0.12453550845384598,0.6841890811920166,0.5448448061943054,0.27336299419403076,1.5454957485198975,0.0,0.0,0.0,10.67535400390625,417.0515441894531
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@130:r1,True,150,0.49808429118773945,1,130,13,3.0,0,2.52,ee_body_pos,0.0002736726892180741,0.03448275849223137,0.0,23.725502014160156,0.16631756722927094,0.013683629222214222,0.8214285969734192,0.24147360026836395,0.0022797626443207264,3.0,9.581928253173828,392.41302490234375,0.2694987952709198,0.7498577833175659,0.34567582607269287,0.5352801084518433,0.460443377494812,1.03313410282135,1.4595656394958496,1.4343928098678589,0.12486955523490906,0.23652999103069305,0.6503713130950928,0.765724778175354,0.6583577394485474,1.0638097524642944,3.196758270263672,2.8580520153045654,1.9792412519454956,1.8262525796890259,10.65827751159668,8.00901985168457,0.2718659043312073,0.34874171018600464,0.11692940443754196,0.6419898271560669,0.5335727334022522,0.26652052998542786,1.4439902305603027,0.0,0.0,0.0,9.581928253173828,392.41302490234375
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@130:r2,True,150,0.49808429118773945,2,130,14,3.0,0,2.26,anchor_pos,0.0009154714061878622,0.03448275849223137,0.0,22.261093139648438,0.1686129868030548,0.014952700585126877,0.8761062026023865,0.287250816822052,0.002959802048280835,2.232142925262451,9.60130500793457,384.7251281738281,0.272973895072937,0.8081356883049011,0.34068167209625244,1.0111494064331055,0.49518272280693054,1.4866362810134888,1.441077470779419,4.110761642456055,0.13330192863941193,0.32084915041923523,0.6934085488319397,1.1817587614059448,0.6838311553001404,1.6578606367111206,3.290364980697632,6.074931621551514,2.019686460494995,2.61175274848938,11.213408470153809,11.053814888000488,0.2754003405570984,0.34510889649391174,0.11893034726381302,0.6883751749992371,0.5428966879844666,0.274748831987381,1.4880120754241943,0.0,0.0,0.0,9.60130500793457,384.7251281738281
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@130:r3,True,150,0.49808429118773945,3,130,15,3.0,0,2.46,ee_body_pos,0.000560695247258991,0.03448275849223137,0.0,24.198305130004883,0.18979503214359283,0.01317633781582117,0.8170731663703918,0.28482821583747864,0.0027830053586512804,3.8934426307678223,10.752677917480469,422.6618957519531,0.28965097665786743,0.8063654899597168,0.3458137810230255,0.56744384765625,0.5179448127746582,1.2760225534439087,1.5427130460739136,2.6655139923095703,0.12834018468856812,0.2573620080947876,0.656426191329956,0.9051730632781982,0.7006718516349792,1.3284555673599243,3.3908300399780273,3.6790969371795654,1.9864312410354614,2.00488018989563,11.276496887207031,11.130316734313965,0.29200831055641174,0.3491257131099701,0.11877083033323288,0.6470051407814026,0.5504863262176514,0.2691028118133545,1.5316931009292603,0.0,0.0,0.0,10.752677917480469,422.6618957519531
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@174:r0,True,150,0.6666666666666666,0,174,16,3.0,0,1.9,anchor_pos,0.0018148820381611586,0.03448275849223137,0.0,23.337190628051758,0.2462204247713089,0.01851179078221321,0.7684210538864136,0.36425483226776123,0.003200498642399907,5.8510637283325195,14.20233154296875,579.98779296875,0.2744029760360718,0.4734422266483307,0.41253209114074707,0.5730840563774109,0.5121245384216309,1.9204438924789429,1.8355522155761719,1.654595971107483,0.14817138016223907,0.3339320123195648,0.7633394002914429,0.9827414751052856,0.803924560546875,1.5189987421035767,4.222690105438232,5.602115154266357,2.1397557258605957,1.9887075424194336,14.427605628967285,14.572796821594238,0.2754247188568115,0.4117531478404999,0.14036893844604492,0.7926926612854004,0.6695601344108582,0.28710657358169556,1.907715916633606,0.0,0.0,0.0,14.20233154296875,579.98779296875
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@174:r1,True,150,0.6666666666666666,1,174,17,3.0,0,1.58,anchor_pos,0.0,0.0,0.0,21.221355438232422,0.23767109215259552,0.02575293742120266,0.8291139006614685,0.3722277879714966,0.003713313490152359,5.448718070983887,14.392463684082031,579.2627563476562,0.2807465195655823,0.6799318790435791,0.46462181210517883,1.0898292064666748,0.6040281653404236,1.5413386821746826,2.0315804481506348,4.287758827209473,0.16231001913547516,0.317927747964859,0.8230516314506531,1.1910572052001953,0.8697485327720642,1.6634033918380737,4.355072021484375,7.031942367553711,2.24548077583313,2.119371175765991,14.29667854309082,24.029312133789062,0.28181490302085876,0.467322438955307,0.14877039194107056,0.8302053213119507,0.7073835730552673,0.3006136119365692,1.90451979637146,0.0,0.0,0.0,14.392463684082031,579.2627563476562
