clip,condition_id,full_window,horizon_steps,phase,replicate,start_frame,world_id,actual_window_s,success,survival_s,termination_causes,effort_sat_mean,effort_sat_peak,effort_sat_terminal,absolute_mechanical_work_per_actuator_j,action_delta_mean_per_step,joint_limit_exposure,foot_contact_fraction,contacting_ankle_link_speed_mean_mps,foot_penetration_mean_m,foot_contact_switch_rate_hz,body_acceleration_error_mean_mps2,body_jerk_error_mean_mps3,error_anchor_pos_mean,error_anchor_pos_terminal,error_anchor_rot_mean,error_anchor_rot_terminal,error_anchor_lin_vel_mean,error_anchor_lin_vel_terminal,error_anchor_ang_vel_mean,error_anchor_ang_vel_terminal,error_body_pos_mean,error_body_pos_terminal,error_body_rot_mean,error_body_rot_terminal,error_body_lin_vel_mean,error_body_lin_vel_terminal,error_body_ang_vel_mean,error_body_ang_vel_terminal,error_joint_pos_mean,error_joint_pos_terminal,error_joint_vel_mean,error_joint_vel_terminal,common_anchor_position_error_m_mean,common_anchor_orientation_error_rad_mean,common_root_relative_mpkpe_m_mean,common_body_orientation_error_rad_mean,common_root_relative_velocity_error_mps_mean,common_joint_position_error_rad_mean,common_joint_velocity_error_rps_mean,active_to_common_root_relative_mpkpe_m_mean,active_to_common_body_orientation_error_rad_mean,active_to_common_root_relative_velocity_error_mps_mean,common_body_acceleration_error_mps2_mean,common_body_jerk_error_mps3_mean
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@0:r0,True,150,0.0,0,0,0,3.0,1,3.0,,0.0,0.0,0.0,11.945419311523438,0.12455679476261139,0.0,0.9300000071525574,0.13379521667957306,0.0014491748297587037,2.013422727584839,6.214328289031982,291.27471923828125,0.12263832241296768,0.30132558941841125,0.18911470472812653,0.08518031239509583,0.24641838669776917,0.5379692912101746,0.6901177167892456,1.3809162378311157,0.10208682715892792,0.07620896399021149,0.44185975193977356,0.42163223028182983,0.30322542786598206,0.5901964902877808,1.5915987491607666,5.568613529205322,1.4150463342666626,1.3878318071365356,6.003859519958496,17.509769439697266,0.12377549707889557,0.18866568803787231,0.08513661473989487,0.43646714091300964,0.23726743459701538,0.19729723036289215,0.7903738617897034,0.0,0.0,0.0,6.214328289031982,291.27471923828125
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@0:r1,True,150,0.0,1,0,1,3.0,1,3.0,,0.0,0.0,0.0,10.576434135437012,0.10325797647237778,0.00022988505952525884,0.95333331823349,0.10333533585071564,0.0013266111491248012,1.3422818183898926,5.010237693786621,227.74002075195312,0.10201651602983475,0.16213741898536682,0.15549637377262115,0.10416564345359802,0.19639860093593597,0.8159390687942505,0.5636969208717346,2.3362579345703125,0.10235244035720825,0.08668208867311478,0.4321311414241791,0.4421164095401764,0.25535517930984497,0.9687944054603577,1.3711166381835938,6.419239521026611,1.4512296915054321,1.5699020624160767,5.232032775878906,28.6008243560791,0.10296443104743958,0.15513992309570312,0.0854194238781929,0.430354505777359,0.21224257349967957,0.20273199677467346,0.6845275163650513,0.0,0.0,0.0,5.010237693786621,227.74002075195312
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@0:r2,True,150,0.0,2,0,2,3.0,1,3.0,,0.0,0.0,0.0,11.842910766601562,0.11203987151384354,0.0009195402381010354,0.9200000166893005,0.1449137181043625,0.0010690154740586877,2.852349042892456,5.720869541168213,271.597412109375,0.13051818311214447,0.3539833128452301,0.1897532194852829,0.19600114226341248,0.2710110545158386,0.6549497842788696,0.6819009780883789,1.4607439041137695,0.10314246267080307,0.08856265246868134,0.4509181082248688,0.358333021402359,0.3190310299396515,0.6976625323295593,1.595462441444397,2.9617249965667725,1.4764914512634277,1.4252171516418457,6.0402374267578125,13.150480270385742,0.1313672959804535,0.1900215744972229,0.0848190039396286,0.447541743516922,0.24024510383605957,0.2084788978099823,0.7835915684700012,0.0,0.0,0.0,5.720869541168213,271.597412109375
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@0:r3,True,150,0.0,3,0,3,3.0,1,3.0,,0.0,0.0,0.0,12.645489692687988,0.13781817257404327,0.0009195402381010354,0.9333333373069763,0.17920109629631042,0.0016036259476095438,1.6778523921966553,7.059147357940674,345.68133544921875,0.12908226251602173,0.4396142065525055,0.19202135503292084,0.12752215564250946,0.2972469627857208,1.4186265468597412,0.6942424774169922,3.868703842163086,0.10494233667850494,0.13153108954429626,0.4471270740032196,0.5574913024902344,0.3461354076862335,1.3197078704833984,1.7189863920211792,5.576095104217529,1.416977047920227,1.613263487815857,6.654717445373535,23.436538696289062,0.13020473718643188,0.19108305871486664,0.08719508349895477,0.4405243992805481,0.2453695684671402,0.1969623863697052,0.8539780974388123,0.0,0.0,0.0,7.059147357940674,345.68133544921875
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@44:r0,True,150,0.1685823754789272,0,44,4,3.0,1,3.0,,0.0,0.0,0.0,12.401997566223145,0.10642369836568832,0.0,0.949999988079071,0.16364681720733643,0.0018595181172713637,2.013422727584839,5.436394214630127,256.5845642089844,0.11393018066883087,0.1358921229839325,0.1966596096754074,0.16360415518283844,0.24864444136619568,0.3587278425693512,0.6345219016075134,1.0796610116958618,0.10504220426082611,0.10470690578222275,0.46229788661003113,0.5554883480072021,0.3218978941440582,0.617860734462738,1.6961257457733154,2.5431721210479736,1.6112852096557617,2.1561660766601562,6.259129047393799,12.382411003112793,0.1152932196855545,0.19625763595104218,0.09805014729499817,0.4715433716773987,0.26256343722343445,0.22591400146484375,0.8230027556419373,0.0,0.0,0.0,5.436394214630127,256.5845642089844
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@44:r1,True,150,0.1685823754789272,1,44,5,3.0,1,3.0,,0.0004597701190505177,0.03448275849223137,0.0,15.961003303527832,0.1497134417295456,0.0,0.9433333277702332,0.17351099848747253,0.0027379505336284637,2.684563636779785,7.516122341156006,325.0718994140625,0.186875119805336,0.10156522691249847,0.1856914907693863,0.1480216234922409,0.29721230268478394,0.6178357601165771,0.7600005865097046,1.0797474384307861,0.09838864207267761,0.09650067985057831,0.43308770656585693,0.5524178743362427,0.373882532119751,0.6596245169639587,2.028305768966675,2.687880516052246,1.6609902381896973,2.075788974761963,7.859747886657715,12.851183891296387,0.1863284707069397,0.18416516482830048,0.09054884314537048,0.44415584206581116,0.31713858246803284,0.23298868536949158,1.0472218990325928,0.0,0.0,0.0,7.516122341156006,325.0718994140625
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@44:r2,True,150,0.1685823754789272,2,44,6,3.0,1,3.0,,0.00022988505952525884,0.03448275849223137,0.0,15.399264335632324,0.1538977473974228,0.0,0.9399999976158142,0.19298942387104034,0.002148389583453536,3.020134210586548,7.694794654846191,344.4627990722656,0.15378011763095856,0.07083676755428314,0.17717266082763672,0.09768559783697128,0.2962323725223541,0.5199956893920898,0.8096855282783508,0.9492528438568115,0.0970868244767189,0.09164725244045258,0.43691664934158325,0.5294675827026367,0.3755382299423218,0.6612007021903992,2.0569136142730713,2.530409812927246,1.624682068824768,1.9689632654190063,7.868675708770752,13.170392990112305,0.15366333723068237,0.1749652773141861,0.08671416342258453,0.44180989265441895,0.311418354511261,0.22841136157512665,1.061751127243042,0.0,0.0,0.0,7.694794654846191,344.4627990722656
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@44:r3,True,150,0.1685823754789272,3,44,7,3.0,0,2.38,anchor_pos,0.0005795421311631799,0.03448275849223137,0.0,12.182474136352539,0.15671366453170776,0.0028977105394005775,0.8781512379646301,0.19604632258415222,0.00263038813136518,3.8135595321655273,7.698063373565674,358.5549621582031,0.19422385096549988,0.3207913339138031,0.218825563788414,0.33208510279655457,0.4676709473133087,2.350593090057373,0.8208601474761963,0.9660132527351379,0.11624021828174591,0.3118128180503845,0.5056682825088501,0.9862878918647766,0.48405808210372925,1.5914433002471924,2.173159122467041,3.561530113220215,1.6575027704238892,2.1653454303741455,8.087207794189453,10.3516206741333,0.19474723935127258,0.21751123666763306,0.10022736340761185,0.5081056952476501,0.3348504602909088,0.23168466985225677,1.0402745008468628,0.0,0.0,0.0,7.698063373565674,358.5549621582031
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@87:r0,True,150,0.3333333333333333,0,87,8,3.0,0,2.62,ee_body_pos,0.0002632271498441696,0.03448275849223137,0.0,18.129873275756836,0.12803660333156586,0.0023690443485975266,0.9389312863349915,0.22719311714172363,0.0028664569836109877,2.115384578704834,6.490696907043457,268.4786376953125,0.1093931496143341,0.3177616000175476,0.2242608368396759,0.46206772327423096,0.2930971086025238,0.18439936637878418,0.8681825995445251,0.7104229927062988,0.09862186014652252,0.17098791897296906,0.45026782155036926,0.7747992277145386,0.42574453353881836,1.0405161380767822,2.3453407287597656,7.529260158538818,1.7757060527801514,2.6843581199645996,8.477579116821289,27.446447372436523,0.11133499443531036,0.22107331454753876,0.09015392512083054,0.4634783864021301,0.3585198223590851,0.24974645674228668,1.1381312608718872,0.0,0.0,0.0,6.490696907043457,268.4786376953125
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@87:r1,True,150,0.3333333333333333,1,87,9,3.0,1,3.0,,0.0004597701190505177,0.03448275849223137,0.0,18.762004852294922,0.12396475672721863,0.0018390804762020707,0.9399999976158142,0.20803773403167725,0.002546934178099036,1.6778523921966553,6.898143291473389,292.98992919921875,0.13508154451847076,0.334244966506958,0.24578343331813812,0.7727165222167969,0.27729296684265137,0.3329188823699951,0.9799758791923523,2.0752172470092773,0.0993870198726654,0.16624663770198822,0.45975539088249207,0.8357270956039429,0.4540310204029083,0.9803171753883362,2.440476655960083,3.2579991817474365,1.8678442239761353,2.835866689682007,8.887974739074707,9.885037422180176,0.13719943165779114,0.2451610565185547,0.09104674309492111,0.46707960963249207,0.397555410861969,0.2610377371311188,1.157850742340088,0.0,0.0,0.0,6.898143291473389,292.98992919921875
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@87:r2,True,150,0.3333333333333333,2,87,10,3.0,1,3.0,,0.0,0.0,0.0,21.896339416503906,0.12376894056797028,0.0022988503333181143,0.9466666579246521,0.15031452476978302,0.0018390180775895715,1.3422818183898926,6.631657600402832,270.2652893066406,0.12923471629619598,0.24408885836601257,0.24112233519554138,0.8225505352020264,0.28052544593811035,0.5144032835960388,1.0435036420822144,4.024342060089111,0.10213415324687958,0.1755329668521881,0.46693161129951477,0.7575463652610779,0.44712698459625244,0.9598844647407532,2.4619765281677246,5.755031108856201,1.9258785247802734,2.9012374877929688,8.92785930633545,19.505271911621094,0.13132429122924805,0.24071316421031952,0.0934484675526619,0.48715195059776306,0.3944033682346344,0.26632633805274963,1.164903163909912,0.0,0.0,0.0,6.631657600402832,270.2652893066406
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@87:r3,True,150,0.3333333333333333,3,87,11,3.0,1,3.0,,0.0004597701190505177,0.03448275849223137,0.0,19.90349578857422,0.12776894867420197,0.003908045589923859,0.9233333468437195,0.19607508182525635,0.0024956983979791403,1.845637559890747,6.840023517608643,290.4340515136719,0.1576768308877945,0.32882189750671387,0.24691005051136017,0.8474746942520142,0.28816303610801697,0.41782867908477783,0.937513530254364,1.1835834980010986,0.10108425468206406,0.18274663388729095,0.4728078246116638,0.8983172178268433,0.4651620388031006,1.0477333068847656,2.4873690605163574,3.143782377243042,1.9305373430252075,2.9573886394500732,8.993537902832031,11.383711814880371,0.15999287366867065,0.2452072948217392,0.08958857506513596,0.47724267840385437,0.4088183641433716,0.2683016061782837,1.183059573173523,0.0,0.0,0.0,6.840023517608643,290.4340515136719
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@130:r0,True,150,0.49808429118773945,0,130,12,3.0,0,2.46,ee_body_pos,0.001121390494517982,0.06896551698446274,0.0,28.830595016479492,0.22540438175201416,0.007569386623799801,0.9065040946006775,0.3053142726421356,0.002519636880606413,4.918032646179199,12.077373504638672,523.2430419921875,0.14463837444782257,0.25443628430366516,0.302999883890152,0.5759439468383789,0.4362843930721283,1.2065538167953491,1.346611738204956,5.351560115814209,0.10533573478460312,0.2193334847688675,0.5536662340164185,1.0354721546173096,0.6416919231414795,1.628330111503601,3.567729949951172,7.339331150054932,2.0878026485443115,3.1622793674468994,13.124236106872559,30.919435501098633,0.14613541960716248,0.3067631423473358,0.10027401894330978,0.5745809674263,0.5394583940505981,0.28645655512809753,1.7294285297393799,0.0,0.0,0.0,12.077373504638672,523.2430419921875
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@130:r1,True,150,0.49808429118773945,1,130,13,3.0,0,2.7,ee_body_pos,0.0017879949882626534,0.03448275849223137,0.0,28.31792449951172,0.2318260371685028,0.005874840077012777,0.8703703880310059,0.33451753854751587,0.0032183274161070585,4.8507466316223145,12.247512817382812,521.34814453125,0.212380051612854,0.2919434607028961,0.32026398181915283,0.5324424505233765,0.47547444701194763,1.7701265811920166,1.426871657371521,2.328167676925659,0.10997852683067322,0.31120648980140686,0.5610275268554688,1.2934118509292603,0.6895574331283569,2.1864407062530518,3.7706668376922607,8.681077003479004,2.0382025241851807,3.0581023693084717,13.92183780670166,28.624826431274414,0.21564288437366486,0.3237263560295105,0.10778486728668213,0.589927077293396,0.5738193988800049,0.28112897276878357,1.813261866569519,0.0,0.0,0.0,12.247512817382812,521.34814453125
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@130:r2,True,150,0.49808429118773945,2,130,14,3.0,0,2.3,ee_body_pos,0.0002998500713147223,0.03448275849223137,0.0,23.029447555541992,0.21164362132549286,0.006896551698446274,0.852173924446106,0.3656238317489624,0.0036593605764210224,4.385964870452881,11.409151077270508,483.57427978515625,0.16565412282943726,0.29036763310432434,0.305033415555954,0.7018902897834778,0.44380128383636475,1.5960386991500854,1.3796736001968384,6.402988433837891,0.11452945321798325,0.29866185784339905,0.5798766613006592,1.1914970874786377,0.6715062856674194,2.0508780479431152,3.551736831665039,6.538878440856934,2.125978469848633,3.2242372035980225,13.067636489868164,25.290523529052734,0.1676137000322342,0.3065339922904968,0.10323162376880646,0.5833812952041626,0.5684093236923218,0.29345715045928955,1.7015019655227661,0.0,0.0,0.0,11.409151077270508,483.57427978515625
BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos,BMLhandball_S01_Expert_Trial_upper_left_112_poses_120_jpos@130:r3,True,150,0.49808429118773945,3,130,15,3.0,0,2.4,ee_body_pos,0.0008620689040981233,0.03448275849223137,0.03448275849223137,24.590396881103516,0.19969458878040314,0.004310344345867634,0.9375,0.31197112798690796,0.002194939414039254,2.941176652908325,10.719971656799316,448.1436462402344,0.15001219511032104,0.3188917338848114,0.312814861536026,0.7051570415496826,0.42959535121917725,1.8142943382263184,1.34242844581604,1.0869958400726318,0.1074843555688858,0.24537909030914307,0.547277569770813,0.8525744080543518,0.6324331760406494,1.5311863422393799,3.4107508659362793,5.206608772277832,2.0837433338165283,2.4645657539367676,12.275918960571289,17.28852653503418,0.1514156013727188,0.316921591758728,0.10530705749988556,0.586342453956604,0.5308653712272644,0.28541746735572815,1.6303695440292358,0.0,0.0,0.0,10.719971656799316,448.1436462402344
